,geometric mean
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.94877171344
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.94864267846
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.94864267846
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.94857815462
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.94844909424
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.94838455769
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,2.94806181135
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.94793268313
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,2.94786811266
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,2.94786811266
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu3,2.94780353794
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.94773895898
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.94773895898
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,2.94773895898
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.94767437577
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.94760978832
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.94748060068
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,2.94741600049
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu1,2.9411231429
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu3,2.94106743401
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu2,2.94106743401
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu1,2.94106743401
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult3resfpalu1,2.94101172195
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu2,2.94090028834
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu2,2.94023142048
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult3resfpalu1,2.94017566088
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu1,2.94017566088
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu1,2.94011989811
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,2.94011989811
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult2resfpalu2,2.94000836306
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu1,2.93995259077
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult2resfpalu1,2.93995259077
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu3,2.9398968153
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu2,2.93984103666
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu3,2.93984103666
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu2,2.93972946986
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.92920130988
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.92913709343
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.92913709343
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.92913709343
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.92913709343
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.92888018538
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu3,2.9284946965
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,2.92843043355
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.92843043355
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.92836616637
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,2.92836616637
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,2.92836616637
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.92830189496
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.92830189496
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.92830189496
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.92823761931
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,2.92823761931
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,2.92817333944
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult3resfpalu1,2.86373209393
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu2,2.86373209393
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu3,2.86373209393
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu1,2.86362332465
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu1,2.86356893536
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu2,2.86318812352
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu1,2.8628615924
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult3resfpalu1,2.8628615924
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu1,2.86275272386
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult2resfpalu1,2.86275272386
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu3,2.86275272386
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu3,2.86269828493
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult2resfpalu2,2.86269828493
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult2resfpalu2,2.86258939775
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu1,2.86253494951
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,2.86253494951
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult1resfpalu2,2.86248049815
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu2resfpmult1resfpalu2,2.86248049815
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,2.35232002567
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,2.35225906342
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu3,2.35225906342
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,2.35219809642
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,2.35219809642
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,2.35219809642
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,2.35213712469
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,2.35213712469
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu1,2.35213712469
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu2,2.35213712469
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult3resfpalu1,2.35207614821
dynamic2resmemport2resimult2cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,2.35201516699
