,geometric mean
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,3.14113164586
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu3,3.14087363677
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu3,3.14080912456
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,3.14074460838
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,3.14074460838
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,3.14074460838
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,3.14061556408
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,3.14061556408
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu3,3.14055103597
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,3.14042196781
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,3.14042196781
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,3.14035742776
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,3.14035742776
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,3.14029288373
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,3.14029288373
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,3.14029288373
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu3,3.14022833572
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,3.14022833572
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu3,3.14016378373
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu3,3.14003466781
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu2,3.13997010387
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu2,3.13997010387
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu2,3.13990553596
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu1,3.13977638817
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,3.13964722445
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu1,3.13958263661
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult3resfpalu3,3.13932424538
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.85385228639
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.85361239631
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,2.85355241434
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,2.85355241434
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.85343243904
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,2.85337244572
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.85331244861
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,2.85325244772
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.85325244772
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.85319244304
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.85313243458
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,2.85313243458
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,2.85313243458
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.85313243458
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.85301240629
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,2.85301240629
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.85295238646
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.85295238646
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu2,2.85176192662
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,2.85170190785
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,2.85170190785
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu3,2.85158185893
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu2,2.85158185893
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,2.85152182879
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,2.85152182879
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu3,2.85152182879
