,geometric mean
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult5resfpalu5,2.98285865536
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu5,2.98279838402
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu8,2.98267783039
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu7,2.98267783039
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu6,2.98267783039
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult8resfpalu5,2.98267783039
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult5resfpalu8,2.98261754809
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult8resfpalu8,2.98255726213
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu7,2.98255726213
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu6,2.98255726213
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu4,2.98249697252
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu6,2.98249697252
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu4,2.98249697252
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult5resfpalu6,2.98249697252
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu7,2.98249697252
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult8resfpalu6,2.98249697252
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu5,2.98243667925
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu7,2.98243667925
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult6resfpalu7,2.98243402538
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu6,2.98237638232
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu8,2.98237638232
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu5,2.98237638232
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu7,2.98237638232
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu8,2.98231608174
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult8resfpalu4,2.98231608174
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu5,2.98231608174
dynamic8resimult5cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult6resfpalu4,2.98231334014
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult5resfpalu7,2.9822557775
dynamic8resimult8cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu8,2.9822557775
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult6resfpalu6,2.9822557775
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult4resfpalu7,2.9822557775
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu4,2.9822557775
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult7resfpalu7,2.9822557775
dynamic8resimult6cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult4resfpalu5,2.98225299202
dynamic8resimult4cachedl2ul240961282lcacheil1il1256642lresialu8resfpmult8resfpalu6,2.9821954696
