,geometric mean
dynamic2cachedl2dl22048162lcacheil1il1102484lbpredcomb,1.47181495963
dynamic2cachedl2dl24096162lcacheil1il1204884lbpredcomb,1.47169884469
dynamic2cachedl2dl22048162lcacheil1il1409682lbpredcomb,1.47169423495
dynamic2cachedl2dl21024164lcacheil1il1204884lbpredcomb,1.47157812953
dynamic2cachedl2dl22048162lcacheil1il1204884lbpredcomb,1.47063540299
dynamic2cachedl2dl24096162lcacheil1il1409682lbpredcomb,1.4696834882
dynamic2cachedl2dl21024164lcacheil1il1409682lbpredcomb,1.4695627601
dynamic2cachedl2dl24096162lcacheil1il1102484lbpredcomb,1.46899116515
dynamic2cachedl2dl21024164lcacheil1il1102484lbpredcomb,1.4689866805
dynamic2cachedl2dl232768162lcacheil1il1204884lbpredcomb,1.46785242587
dynamic2cachedl2dl28192162lcacheil1il1204884lbpredcomb,1.46783315547
dynamic2cachedl2dl232768162lcacheil1il1409682lbpredcomb,1.46761287427
dynamic2cachedl2dl28192162lcacheil1il1409682lbpredcomb,1.46759207258
dynamic2cachedl2dl2512168lcacheil1il1204884lbpredcomb,1.46735095008
dynamic2cachedl2dl22048164lcacheil1il1204884lbpredcomb,1.46735095008
dynamic2cachedl2dl216384162lcacheil1il1204884lbpredcomb,1.46718927533
dynamic2cachedl2dl22048164lcacheil1il1409682lbpredcomb,1.46710978795
dynamic2cachedl2dl2512168lcacheil1il1409682lbpredcomb,1.46698919202
dynamic2cachedl2dl216384162lcacheil1il1409682lbpredcomb,1.46694885104
dynamic2cachedl2dl28192162lcacheil1il1102484lbpredcomb,1.46678206721
dynamic2cachedl2dl232768162lcacheil1il1102484lbpredcomb,1.46656193398
dynamic2cachedl2dl22048164lcacheil1il1102484lbpredcomb,1.46630012796
dynamic2cachedl2dl2512168lcacheil1il1102484lbpredcomb,1.46617961839
dynamic2cachedl2dl216384162lcacheil1il1102484lbpredcomb,1.46601928689
dynamic2cachedl2dl216384164lcacheil1il1204884lbpredcomb,1.46526827753
dynamic2cachedl2dl24096164lcacheil1il1204884lbpredcomb,1.46526477636
dynamic2cachedl2dl216384164lcacheil1il1409682lbpredcomb,1.46490939237
dynamic2cachedl2dl24096164lcacheil1il1409682lbpredcomb,1.46490365133
dynamic2cachedl2dl21024168lcacheil1il1204884lbpredcomb,1.46466285185
dynamic2cachedl2dl22561616lcacheil1il1204884lbpredcomb,1.46454243726
dynamic2cachedl2dl21024168lcacheil1il1409682lbpredcomb,1.46430157837
dynamic2cachedl2dl28192164lcacheil1il1204884lbpredcomb,1.46425503685
dynamic2cachedl2dl22561616lcacheil1il1409682lbpredcomb,1.46418113407
dynamic2cachedl2dl28192164lcacheil1il1409682lbpredcomb,1.46401489662
dynamic2cachedl2dl24096164lcacheil1il1102484lbpredcomb,1.46397571836
dynamic2cachedl2dl216384164lcacheil1il1102484lbpredcomb,1.46362237727
dynamic2cachedl2dl21024168lcacheil1il1102484lbpredcomb,1.46337412568
dynamic2cachedl2dl22561616lcacheil1il1102484lbpredcomb,1.46325377747
dynamic2cachedl2dl28192164lcacheil1il1102484lbpredcomb,1.46296712034
dynamic2cachedl2dl28192168lcacheil1il1204884lbpredcomb,1.46244280692
dynamic2cachedl2dl28192168lcacheil1il1409682lbpredcomb,1.46208432112
dynamic2cachedl2dl22048168lcacheil1il1204884lbpredcomb,1.46197211209
dynamic2cachedl2dl25121616lcacheil1il1204884lbpredcomb,1.4618518594
dynamic2cachedl2dl22048168lcacheil1il1409682lbpredcomb,1.46173159681
dynamic2cachedl2dl24096168lcacheil1il1204884lbpredcomb,1.46167546066
dynamic2cachedl2dl25121616lcacheil1il1409682lbpredcomb,1.46149104195
dynamic2cachedl2dl24096168lcacheil1il1409682lbpredcomb,1.46131569313
dynamic2cachedl2dl28192168lcacheil1il1102484lbpredcomb,1.46079756129
dynamic2cachedl2dl22048168lcacheil1il1102484lbpredcomb,1.46068582917
dynamic2cachedl2dl25121616lcacheil1il1102484lbpredcomb,1.46044548597
dynamic2cachedl2dl24096168lcacheil1il1102484lbpredcomb,1.46015222981
dynamic2cachedl2dl240961616lcacheil1il1204884lbpredcomb,1.45961739824
dynamic2cachedl2dl240961616lcacheil1il1409682lbpredcomb,1.45937872317
dynamic2cachedl2dl210241616lcacheil1il1204884lbpredcomb,1.45927533513
dynamic2cachedl2dl210241616lcacheil1il1409682lbpredcomb,1.45903510542
dynamic2cachedl2dl220481616lcacheil1il1204884lbpredcomb,1.4582549891
dynamic2cachedl2dl22048162lcacheil1il1204882lbpredcomb,1.4580238011
dynamic2cachedl2dl220481616lcacheil1il1409682lbpredcomb,1.45801532191
dynamic2cachedl2dl240961616lcacheil1il1102484lbpredcomb,1.45785276569
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,1.45775421172
dynamic2cachedl2dl220481616lcacheil1il1102484lbpredcomb,1.45661377015
dynamic2cachedl2dl24096162lcacheil1il1204882lbpredcomb,1.45590853139
dynamic2cachedl2dl21024164lcacheil1il1204882lbpredcomb,1.45532277054
dynamic2cachedl2dl216384161lcacheil1il1204884lbpredcomb,1.45373144636
dynamic2cachedl2dl265536161lcacheil1il1204884lbpredcomb,1.45232913844
dynamic2cachedl2dl265536161lcacheil1il1409682lbpredcomb,1.45208625372
dynamic2cachedl2dl216384161lcacheil1il1409682lbpredcomb,1.45182873071
dynamic2cachedl2dl232768161lcacheil1il1204884lbpredcomb,1.45159207741
