,geometric mean
dynamic2cachedl2dl232768162lcacheil1il1102484lbpredcomb,1.48841722362
dynamic2cachedl2dl232768162lcacheil1il151284lbpredcomb,1.48837051572
dynamic2cachedl2dl232768162lcacheil1il1204882lbpredcomb,1.48832380342
dynamic2cachedl2dl232768162lcacheil1il1204884lbpredcomb,1.48832380342
dynamic2cachedl2dl232768162lcacheil1il1409682lbpredcomb,1.48832380342
dynamic2cachedl2dl232768162lcacheil1il1819281lbpredcomb,1.48827708673
dynamic2cachedl2dl232768162lcacheil1il1102482lbpredcomb,1.48303755645
dynamic2cachedl2dl216384164lcacheil1il1102484lbpredcomb,1.47607024141
dynamic2cachedl2dl216384164lcacheil1il1409682lbpredcomb,1.47607024141
dynamic2cachedl2dl216384164lcacheil1il1204884lbpredcomb,1.47593060088
dynamic2cachedl2dl216384164lcacheil1il1204882lbpredcomb,1.47588404522
dynamic2cachedl2dl216384164lcacheil1il151284lbpredcomb,1.47588404522
dynamic2cachedl2dl216384164lcacheil1il1819281lbpredcomb,1.47575916609
dynamic2cachedl2dl216384164lcacheil1il1102482lbpredcomb,1.47025232231
dynamic2cachedl2dl28192168lcacheil1il1102484lbpredcomb,1.46365904139
dynamic2cachedl2dl28192168lcacheil1il151284lbpredcomb,1.46356629027
dynamic2cachedl2dl28192168lcacheil1il1819281lbpredcomb,1.46356629027
dynamic2cachedl2dl28192168lcacheil1il1204882lbpredcomb,1.46356629027
dynamic2cachedl2dl28192168lcacheil1il1204884lbpredcomb,1.4635199081
dynamic2cachedl2dl28192168lcacheil1il1409682lbpredcomb,1.46347352151
dynamic2cachedl2dl28192168lcacheil1il1102482lbpredcomb,1.45736633116
dynamic2cachedl2dl240961616lcacheil1il1204884lbpredcomb,1.45157938993
dynamic2cachedl2dl240961616lcacheil1il1409682lbpredcomb,1.45148694736
dynamic2cachedl2dl240961616lcacheil1il151284lbpredcomb,1.45148694736
dynamic2cachedl2dl240961616lcacheil1il1102484lbpredcomb,1.45148694736
dynamic2cachedl2dl240961616lcacheil1il1204882lbpredcomb,1.45144071946
dynamic2cachedl2dl240961616lcacheil1il1819281lbpredcomb,1.45139448713
dynamic2cachedl2dl240961616lcacheil1il1102482lbpredcomb,1.44462939217
dynamic2cachedl2dl232768162lcacheil1il1409681lbpredcomb,1.43977276702
dynamic2cachedl2dl216384164lcacheil1il1409681lbpredcomb,1.42305486113
dynamic2cachedl2dl216384162lcacheil1il1204884lbpredcomb,1.4135472583
dynamic2cachedl2dl216384162lcacheil1il1409682lbpredcomb,1.4135472583
dynamic2cachedl2dl216384162lcacheil1il1102484lbpredcomb,1.4135472583
dynamic2cachedl2dl216384162lcacheil1il1204882lbpredcomb,1.41345898056
dynamic2cachedl2dl216384162lcacheil1il1819281lbpredcomb,1.41345898056
dynamic2cachedl2dl216384162lcacheil1il151284lbpredcomb,1.41341483549
dynamic2cachedl2dl216384162lcacheil1il1102482lbpredcomb,1.40901457121
dynamic2cachedl2dl28192168lcacheil1il1409681lbpredcomb,1.406512576
dynamic2cachedl2dl265536161lcacheil1il1819281lbpredcomb,1.39647628443
dynamic2cachedl2dl265536161lcacheil1il1409682lbpredcomb,1.3964326752
dynamic2cachedl2dl265536161lcacheil1il1204884lbpredcomb,1.3964326752
dynamic2cachedl2dl265536161lcacheil1il1102484lbpredcomb,1.3964326752
dynamic2cachedl2dl265536161lcacheil1il1204882lbpredcomb,1.3963890619
dynamic2cachedl2dl265536161lcacheil1il151284lbpredcomb,1.3963603221
dynamic2cachedl2dl232768162lcacheil1il125684lbpredcomb,1.39309024847
dynamic2cachedl2dl265536161lcacheil1il1102482lbpredcomb,1.39168682046
dynamic2cachedl2dl240961616lcacheil1il1409681lbpredcomb,1.39023010919
dynamic2cachedl2dl216384164lcacheil1il125684lbpredcomb,1.37336993746
dynamic2cachedl2dl216384162lcacheil1il1409681lbpredcomb,1.37172413738
dynamic2cachedl2dl265536161lcacheil1il1409681lbpredcomb,1.35509334228
dynamic2cachedl2dl28192168lcacheil1il125684lbpredcomb,1.35335499383
dynamic2cachedl2dl232768161lcacheil1il1204884lbpredcomb,1.34010090901
dynamic2cachedl2dl232768161lcacheil1il151284lbpredcomb,1.3400592528
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredcomb,1.3400592528
dynamic2cachedl2dl232768161lcacheil1il1102484lbpredcomb,1.3400592528
dynamic2cachedl2dl232768161lcacheil1il1204882lbpredcomb,1.3400592528
dynamic2cachedl2dl232768161lcacheil1il1409682lbpredcomb,1.34001759271
dynamic2cachedl2dl232768161lcacheil1il1102482lbpredcomb,1.33619532565
dynamic2cachedl2dl240961616lcacheil1il125684lbpredcomb,1.3340088462
dynamic2cachedl2dl216384162lcacheil1il125684lbpredcomb,1.3315372447
dynamic2cachedl2dl232768162lcacheil1il1204881lbpredcomb,1.32350224108
dynamic2cachedl2dl28192164lcacheil1il1204882lbpredcomb,1.3203746749
dynamic2cachedl2dl28192164lcacheil1il1204884lbpredcomb,1.32033324553
dynamic2cachedl2dl28192164lcacheil1il1102484lbpredcomb,1.32029181226
dynamic2cachedl2dl28192164lcacheil1il151284lbpredcomb,1.32025863371
dynamic2cachedl2dl28192164lcacheil1il1409682lbpredcomb,1.32025037509
dynamic2cachedl2dl28192164lcacheil1il1819281lbpredcomb,1.32017577835
dynamic2cachedl2dl232768162lcacheil1il151282lbpredcomb,1.31676599588
dynamic2cachedl2dl28192164lcacheil1il1102482lbpredcomb,1.31533752864
dynamic2cachedl2dl265536161lcacheil1il125684lbpredcomb,1.31453180747
dynamic2cachedl2dl24096168lcacheil1il1204882lbpredcomb,1.30581890236
dynamic2cachedl2dl24096168lcacheil1il1819281lbpredcomb,1.30577772817
dynamic2cachedl2dl24096168lcacheil1il1102484lbpredcomb,1.30573655008
dynamic2cachedl2dl24096168lcacheil1il1204884lbpredcomb,1.3056953681
dynamic2cachedl2dl24096168lcacheil1il1409682lbpredcomb,1.3056953681
dynamic2cachedl2dl24096168lcacheil1il151284lbpredcomb,1.30565943513
dynamic2cachedl2dl232768161lcacheil1il1409681lbpredcomb,1.30507956438
dynamic2cachedl2dl24096168lcacheil1il1102482lbpredcomb,1.300317682
dynamic2cachedl2dl216384164lcacheil1il1204881lbpredcomb,1.29927877402
dynamic2cachedl2dl216384161lcacheil1il1204884lbpredcomb,1.29417576405
dynamic2cachedl2dl216384161lcacheil1il1409682lbpredcomb,1.29320900706
dynamic2cachedl2dl216384161lcacheil1il1102484lbpredcomb,1.29320900706
dynamic2cachedl2dl216384161lcacheil1il1204882lbpredcomb,1.29316888827
dynamic2cachedl2dl216384161lcacheil1il1819281lbpredcomb,1.29312876575
dynamic2cachedl2dl216384161lcacheil1il151284lbpredcomb,1.29312876575
dynamic2cachedl2dl216384164lcacheil1il151282lbpredcomb,1.2924042982
dynamic2cachedl2dl216384161lcacheil1il1102482lbpredcomb,1.28992710275
dynamic2cachedl2dl220481616lcacheil1il1409682lbpredcomb,1.28566187571
dynamic2cachedl2dl220481616lcacheil1il1204882lbpredcomb,1.28566187571
dynamic2cachedl2dl220481616lcacheil1il1204884lbpredcomb,1.28558039382
dynamic2cachedl2dl220481616lcacheil1il1102484lbpredcomb,1.28558039382
dynamic2cachedl2dl220481616lcacheil1il1819281lbpredcomb,1.28553969354
dynamic2cachedl2dl220481616lcacheil1il151284lbpredcomb,1.28541747652
dynamic2cachedl2dl220481616lcacheil1il1102482lbpredcomb,1.27972870403
dynamic2cachedl2dl28192164lcacheil1il1409681lbpredcomb,1.27712257564
dynamic2cachedl2dl28192168lcacheil1il1204881lbpredcomb,1.27527661185
dynamic2cachedl2dl232768161lcacheil1il125684lbpredcomb,1.27105502311
dynamic2cachedl2dl216384162lcacheil1il1204881lbpredcomb,1.27009509496
dynamic2cachedl2dl28192168lcacheil1il151282lbpredcomb,1.26802055955
dynamic2cachedl2dl216384161lcacheil1il1409681lbpredcomb,1.26412444015
dynamic2cachedl2dl232768162lcacheil1il1102481lbpredcomb,1.26409698066
dynamic2cachedl2dl216384162lcacheil1il151282lbpredcomb,1.26365453191
dynamic2cachedl2dl28192162lcacheil1il1204882lbpredcomb,1.26164460867
dynamic2cachedl2dl28192162lcacheil1il1204884lbpredcomb,1.26156619939
dynamic2cachedl2dl28192162lcacheil1il1102484lbpredcomb,1.26156619939
dynamic2cachedl2dl28192162lcacheil1il1409682lbpredcomb,1.26156619939
dynamic2cachedl2dl28192162lcacheil1il151284lbpredcomb,1.26156619939
dynamic2cachedl2dl28192162lcacheil1il1819281lbpredcomb,1.26156619939
