,geometric mean
static1cachedl2dl24096162lcacheil1il1204884lbpredcomb,1.63012795854
static1cachedl2dl22048162lcacheil1il1102484lbpredcomb,1.63012795854
static1cachedl2dl22048162lcacheil1il1409682lbpredcomb,1.62997078475
static1cachedl2dl21024164lcacheil1il1204884lbpredcomb,1.62997078475
static1cachedl2dl22048162lcacheil1il1204884lbpredcomb,1.62909905365
static1cachedl2dl24096162lcacheil1il1409682lbpredcomb,1.62848818766
static1cachedl2dl21024164lcacheil1il1409682lbpredcomb,1.62833099009
static1cachedl2dl24096162lcacheil1il1102484lbpredcomb,1.62751258594
static1cachedl2dl21024164lcacheil1il1102484lbpredcomb,1.62751258594
static1cachedl2dl28192162lcacheil1il1204884lbpredcomb,1.62657129988
static1cachedl2dl28192162lcacheil1il1409682lbpredcomb,1.62625738088
static1cachedl2dl232768162lcacheil1il1204884lbpredcomb,1.6261796728
static1cachedl2dl22048164lcacheil1il1204884lbpredcomb,1.62610039865
static1cachedl2dl2512168lcacheil1il1204884lbpredcomb,1.62594340126
static1cachedl2dl232768162lcacheil1il1409682lbpredcomb,1.62586745629
static1cachedl2dl22048164lcacheil1il1409682lbpredcomb,1.62578638872
static1cachedl2dl2512168lcacheil1il1409682lbpredcomb,1.62578638872
static1cachedl2dl216384162lcacheil1il1204884lbpredcomb,1.62574694461
static1cachedl2dl216384162lcacheil1il1409682lbpredcomb,1.62543372875
static1cachedl2dl28192162lcacheil1il1102484lbpredcomb,1.62529768847
static1cachedl2dl22048164lcacheil1il1102484lbpredcomb,1.62482706512
static1cachedl2dl2512168lcacheil1il1102484lbpredcomb,1.62467016038
static1cachedl2dl232768162lcacheil1il1102484lbpredcomb,1.62462001237
static1cachedl2dl216384162lcacheil1il1102484lbpredcomb,1.62433122677
static1cachedl2dl24096164lcacheil1il1204884lbpredcomb,1.6238667432
static1cachedl2dl24096164lcacheil1il1409682lbpredcomb,1.62370996147
static1cachedl2dl216384164lcacheil1il1204884lbpredcomb,1.6234654791
static1cachedl2dl21024168lcacheil1il1204884lbpredcomb,1.62339635259
static1cachedl2dl22561616lcacheil1il1204884lbpredcomb,1.62323952543
static1cachedl2dl216384164lcacheil1il1409682lbpredcomb,1.62315360406
static1cachedl2dl22561616lcacheil1il1409682lbpredcomb,1.62308268312
static1cachedl2dl21024168lcacheil1il1409682lbpredcomb,1.62308268312
static1cachedl2dl28192164lcacheil1il1204884lbpredcomb,1.62289840372
static1cachedl2dl28192164lcacheil1il1409682lbpredcomb,1.62258555583
static1cachedl2dl24096164lcacheil1il1102484lbpredcomb,1.62245230049
static1cachedl2dl21024168lcacheil1il1102484lbpredcomb,1.62198222882
static1cachedl2dl22561616lcacheil1il1102484lbpredcomb,1.62182550799
static1cachedl2dl216384164lcacheil1il1102484lbpredcomb,1.62162328523
static1cachedl2dl28192164lcacheil1il1102484lbpredcomb,1.62134126026
static1cachedl2dl22048168lcacheil1il1204884lbpredcomb,1.62070720032
static1cachedl2dl22048168lcacheil1il1409682lbpredcomb,1.62055057242
static1cachedl2dl25121616lcacheil1il1204884lbpredcomb,1.62055057242
static1cachedl2dl28192168lcacheil1il1204884lbpredcomb,1.62045296626
static1cachedl2dl28192168lcacheil1il1409682lbpredcomb,1.62029720589
static1cachedl2dl25121616lcacheil1il1409682lbpredcomb,1.6202372712
static1cachedl2dl24096168lcacheil1il1204884lbpredcomb,1.62018779704
static1cachedl2dl24096168lcacheil1il1409682lbpredcomb,1.61987529096
static1cachedl2dl22048168lcacheil1il1102484lbpredcomb,1.61915173697
static1cachedl2dl25121616lcacheil1il1102484lbpredcomb,1.61899522914
static1cachedl2dl28192168lcacheil1il1102484lbpredcomb,1.61860910277
static1cachedl2dl24096168lcacheil1il1102484lbpredcomb,1.61834869282
static1cachedl2dl210241616lcacheil1il1204884lbpredcomb,1.6179989869
static1cachedl2dl240961616lcacheil1il1204884lbpredcomb,1.61789045144
static1cachedl2dl210241616lcacheil1il1409682lbpredcomb,1.61784253001
static1cachedl2dl240961616lcacheil1il1409682lbpredcomb,1.61757928874
static1cachedl2dl220481616lcacheil1il1204884lbpredcomb,1.61671057566
static1cachedl2dl220481616lcacheil1il1409682lbpredcomb,1.61639831866
static1cachedl2dl210241616lcacheil1il1102484lbpredcomb,1.61616194521
static1cachedl2dl240961616lcacheil1il1102484lbpredcomb,1.61576288831
static1cachedl2dl220481616lcacheil1il1102484lbpredcomb,1.61487025096
static1cachedl2dl22048162lcacheil1il1204882lbpredcomb,1.61462025228
static1cachedl2dl216384161lcacheil1il1204884lbpredcomb,1.61322352424
static1cachedl2dl24096162lcacheil1il1204882lbpredcomb,1.61248128439
static1cachedl2dl21024164lcacheil1il1204882lbpredcomb,1.61191866006
static1cachedl2dl265536161lcacheil1il1204884lbpredcomb,1.61159196637
static1cachedl2dl216384161lcacheil1il1409682lbpredcomb,1.61144320517
static1cachedl2dl265536161lcacheil1il1409682lbpredcomb,1.61143399039
static1cachedl2dl232768161lcacheil1il1204884lbpredcomb,1.61095888188
static1cachedl2dl232768161lcacheil1il1409682lbpredcomb,1.61080040872
static1cachedl2dl216384161lcacheil1il1102484lbpredcomb,1.61063637204
static1cachedl2dl265536161lcacheil1il1102484lbpredcomb,1.61018583788
static1cachedl2dl232768161lcacheil1il1102484lbpredcomb,1.60969446942
static1cachedl2dl28192161lcacheil1il1409682lbpredcomb,1.60822768871
static1cachedl2dl28192161lcacheil1il1102484lbpredcomb,1.60808956635
static1cachedl2dl28192162lcacheil1il1204882lbpredcomb,1.6078337458
static1cachedl2dl22048162lcacheil1il1819281lbpredcomb,1.60746548454
static1cachedl2dl2512168lcacheil1il1204882lbpredcomb,1.60736781957
static1cachedl2dl22048164lcacheil1il1204882lbpredcomb,1.60736781957
static1cachedl2dl28192161lcacheil1il1204884lbpredcomb,1.60721992106
static1cachedl2dl216384162lcacheil1il1204882lbpredcomb,1.60470721855
static1cachedl2dl24096161lcacheil1il1204884lbpredcomb,1.60429381774
static1cachedl2dl24096161lcacheil1il1409682lbpredcomb,1.60413531417
static1cachedl2dl24096161lcacheil1il1204882lbpredcomb,1.60385895353
static1cachedl2dl21024164lcacheil1il1819281lbpredcomb,1.60383901659
static1cachedl2dl24096161lcacheil1il1102484lbpredcomb,1.60344432327
static1cachedl2dl24096162lcacheil1il1819281lbpredcomb,1.60323270579
static1cachedl2dl24096164lcacheil1il1204882lbpredcomb,1.6030044467
static1cachedl2dl232768162lcacheil1il1204882lbpredcomb,1.60266109518
static1cachedl2dl21024168lcacheil1il1204882lbpredcomb,1.60238480831
static1cachedl2dl22561616lcacheil1il1204882lbpredcomb,1.60224344844
static1cachedl2dl28192164lcacheil1il1204882lbpredcomb,1.59942417117
static1cachedl2dl22048168lcacheil1il1204882lbpredcomb,1.59741707407
static1cachedl2dl216384164lcacheil1il1204882lbpredcomb,1.59735729549
static1cachedl2dl25121616lcacheil1il1204882lbpredcomb,1.59726257752
static1cachedl2dl28192162lcacheil1il1819281lbpredcomb,1.59718376042
static1cachedl2dl22048164lcacheil1il1819281lbpredcomb,1.59672065199
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,1.59672065199
static1cachedl2dl216384161lcacheil1il1204882lbpredcomb,1.59560959319
static1cachedl2dl24096168lcacheil1il1204882lbpredcomb,1.59428308692
static1cachedl2dl28192161lcacheil1il1204882lbpredcomb,1.59355195342
static1cachedl2dl216384162lcacheil1il1819281lbpredcomb,1.59233311005
static1cachedl2dl232768161lcacheil1il1204882lbpredcomb,1.5922635673
static1cachedl2dl28192168lcacheil1il1204882lbpredcomb,1.59218444772
static1cachedl2dl210241616lcacheil1il1204882lbpredcomb,1.59212760904
static1cachedl2dl265536161lcacheil1il1204882lbpredcomb,1.59059726411
static1cachedl2dl24096164lcacheil1il1819281lbpredcomb,1.59033568268
static1cachedl2dl21024168lcacheil1il1819281lbpredcomb,1.58972058473
static1cachedl2dl22561616lcacheil1il1819281lbpredcomb,1.58972058473
static1cachedl2dl220481616lcacheil1il1204882lbpredcomb,1.58850450956
static1cachedl2dl232768162lcacheil1il1819281lbpredcomb,1.58836516848
static1cachedl2dl28192161lcacheil1il1819281lbpredcomb,1.58706674821
static1cachedl2dl24096161lcacheil1il151284lbpredcomb,1.58704960871
static1cachedl2dl216384161lcacheil1il1819281lbpredcomb,1.58702857739
static1cachedl2dl240961616lcacheil1il1204882lbpredcomb,1.58685681115
static1cachedl2dl28192164lcacheil1il1819281lbpredcomb,1.58500354531
static1cachedl2dl22048168lcacheil1il1819281lbpredcomb,1.58286061341
static1cachedl2dl25121616lcacheil1il1819281lbpredcomb,1.58255424341
static1cachedl2dl232768161lcacheil1il1819281lbpredcomb,1.58229706269
static1cachedl2dl216384164lcacheil1il1819281lbpredcomb,1.58143910379
static1cachedl2dl22048162lcacheil1il151284lbpredcomb,1.58025363266
static1cachedl2dl265536161lcacheil1il1819281lbpredcomb,1.57860783859
static1cachedl2dl24096168lcacheil1il1819281lbpredcomb,1.57824258277
static1cachedl2dl210241616lcacheil1il1819281lbpredcomb,1.57595538397
static1cachedl2dl28192168lcacheil1il1819281lbpredcomb,1.5743385955
static1cachedl2dl21024164lcacheil1il151284lbpredcomb,1.57203465492
static1cachedl2dl24096162lcacheil1il151284lbpredcomb,1.57145754967
static1cachedl2dl220481616lcacheil1il1819281lbpredcomb,1.57069850139
static1cachedl2dl240961616lcacheil1il1819281lbpredcomb,1.5675120178
static1cachedl2dl22048164lcacheil1il151284lbpredcomb,1.56029583477
static1cachedl2dl2512168lcacheil1il151284lbpredcomb,1.56014507426
static1cachedl2dl28192162lcacheil1il151284lbpredcomb,1.56001597576
static1cachedl2dl216384161lcacheil1il151284lbpredcomb,1.55457215448
static1cachedl2dl216384162lcacheil1il151284lbpredcomb,1.55071743933
static1cachedl2dl24096164lcacheil1il151284lbpredcomb,1.54892262688
static1cachedl2dl21024168lcacheil1il151284lbpredcomb,1.54847359872
static1cachedl2dl22561616lcacheil1il151284lbpredcomb,1.54832389372
static1cachedl2dl28192161lcacheil1il151284lbpredcomb,1.54649577077
static1cachedl2dl232768161lcacheil1il151284lbpredcomb,1.5444599085
static1cachedl2dl232768162lcacheil1il151284lbpredcomb,1.54221062741
static1cachedl2dl21024164lcacheil1il1409681lbpredcomb,1.54197401698
static1cachedl2dl24096162lcacheil1il1409681lbpredcomb,1.54166747721
static1cachedl2dl28192164lcacheil1il151284lbpredcomb,1.53909579632
static1cachedl2dl22048168lcacheil1il151284lbpredcomb,1.53716440453
static1cachedl2dl25121616lcacheil1il151284lbpredcomb,1.53701573541
static1cachedl2dl265536161lcacheil1il151284lbpredcomb,1.53589756322
static1cachedl2dl28192161lcacheil1il1409681lbpredcomb,1.53497454785
static1cachedl2dl22048162lcacheil1il1409681lbpredcomb,1.53115923622
static1cachedl2dl216384164lcacheil1il151284lbpredcomb,1.53093962981
static1cachedl2dl24096168lcacheil1il151284lbpredcomb,1.52784637296
static1cachedl2dl28192162lcacheil1il1409681lbpredcomb,1.52631609069
static1cachedl2dl22048164lcacheil1il1409681lbpredcomb,1.5258680746
static1cachedl2dl2512168lcacheil1il1409681lbpredcomb,1.5258680746
static1cachedl2dl210241616lcacheil1il151284lbpredcomb,1.52578071781
static1cachedl2dl216384161lcacheil1il1409681lbpredcomb,1.52551008959
static1cachedl2dl28192168lcacheil1il151284lbpredcomb,1.51960100492
static1cachedl2dl220481616lcacheil1il151284lbpredcomb,1.51608882532
static1cachedl2dl216384162lcacheil1il1409681lbpredcomb,1.51231733681
static1cachedl2dl232768161lcacheil1il1409681lbpredcomb,1.51148839587
static1cachedl2dl24096164lcacheil1il1409681lbpredcomb,1.51039355058
static1cachedl2dl21024168lcacheil1il1409681lbpredcomb,1.50994925184
static1cachedl2dl22561616lcacheil1il1409681lbpredcomb,1.5098011232
static1cachedl2dl240961616lcacheil1il151284lbpredcomb,1.5089367787
static1cachedl2dl232768162lcacheil1il1409681lbpredcomb,1.49965012294
