,geometric mean
dynamic2bpredras16bpredbtb5122bpredcomb,1.31312834923
dynamic2bpredras4bpredbtb5122bpredcomb,1.31302188641
dynamic2bpredras8bpredbtb10242bpredcomb,1.31279251552
dynamic2bpredras4bpredbtb5124bpredcomb,1.31272316681
dynamic2bpredras4bpredbtb10242bpredcomb,1.31272316681
dynamic2bpredras0bpredbtb10242bpredcomb,1.31268806354
dynamic2bpredras4bpredbtb10244bpredcomb,1.31264845504
dynamic2bpredras8bpredbtb5122bpredcomb,1.31260582982
dynamic2bpredras8bpredbtb5124bpredcomb,1.31256848312
dynamic2bpredras8bpredbtb10244bpredcomb,1.31256848312
dynamic2bpredras16bpredbtb10244bpredcomb,1.31253113323
dynamic2bpredras16bpredbtb10242bpredcomb,1.31253113323
dynamic2bpredras16bpredbtb5124bpredcomb,1.31249378015
dynamic2bpredras0bpredbtb5124bpredcomb,1.31224027631
dynamic2bpredras2bpredbtb5122bpredcomb,1.31207145927
dynamic2bpredras0bpredbtb10244bpredcomb,1.31205356293
dynamic2bpredras2bpredbtb10244bpredcomb,1.31199686102
dynamic2bpredras2bpredbtb10242bpredcomb,1.31195955711
dynamic2bpredras0bpredbtb5122bpredcomb,1.3118667698
dynamic2bpredras8bpredbtb10241bpredcomb,1.31182868141
dynamic2bpredras4bpredbtb10241bpredcomb,1.31182593593
dynamic2bpredras16bpredbtb10241bpredcomb,1.31175405453
dynamic2bpredras2bpredbtb5124bpredcomb,1.31169834066
dynamic2bpredras2bpredbtb10241bpredcomb,1.31116266975
dynamic2bpredras1bpredbtb5122bpredcomb,1.31103264352
dynamic2bpredras0bpredbtb10241bpredcomb,1.31100531558
dynamic2bpredras1bpredbtb5124bpredcomb,1.31095800247
dynamic2bpredras1bpredbtb10242bpredcomb,1.31092067717
dynamic2bpredras1bpredbtb10244bpredcomb,1.31088334868
dynamic2bpredras8bpredbtb5121bpredcomb,1.31066152118
dynamic2bpredras16bpredbtb5121bpredcomb,1.31058696918
dynamic2bpredras4bpredbtb5121bpredcomb,1.3103978419
dynamic2bpredras0bpredbtb5121bpredcomb,1.30994816074
dynamic2bpredras1bpredbtb10241bpredcomb,1.30988553057
dynamic2bpredras2bpredbtb5121bpredcomb,1.30975989235
dynamic2bpredras1bpredbtb5121bpredcomb,1.30889416212
dynamic2bpredras4bpredbtb10244bpred2lev,1.30515143018
dynamic2bpredras16bpredbtb5124bpred2lev,1.30514374724
dynamic2bpredras4bpredbtb5122bpred2lev,1.30492644932
dynamic2bpredras4bpredbtb5124bpred2lev,1.30492644932
dynamic2bpredras8bpredbtb5122bpred2lev,1.30480611787
dynamic2bpredras8bpredbtb10244bpred2lev,1.30476858731
dynamic2bpredras8bpredbtb5124bpred2lev,1.30473105352
dynamic2bpredras8bpredbtb10242bpred2lev,1.30465597621
dynamic2bpredras4bpredbtb10242bpred2lev,1.30462629371
dynamic2bpredras16bpredbtb10244bpred2lev,1.30458088593
dynamic2bpredras16bpredbtb10242bpred2lev,1.30454333593
dynamic2bpredras16bpredbtb5122bpred2lev,1.30450578269
dynamic2bpredras8bpredbtb10241bpred2lev,1.30421611428
dynamic2bpredras4bpredbtb10241bpred2lev,1.30399891908
dynamic2bpredras0bpredbtb5124bpred2lev,1.30391908709
dynamic2bpredras0bpredbtb10244bpred2lev,1.30391908709
dynamic2bpredras2bpredbtb5122bpred2lev,1.30383088891
dynamic2bpredras0bpredbtb5122bpred2lev,1.30380652339
dynamic2bpredras16bpredbtb10241bpred2lev,1.30372846561
dynamic2bpredras0bpredbtb10242bpred2lev,1.3036563931
dynamic2bpredras0bpredbtb10241bpred2lev,1.30344578611
dynamic2bpredras2bpredbtb10241bpred2lev,1.30340003326
dynamic2bpredras2bpredbtb10242bpred2lev,1.30334349644
dynamic2bpredras2bpredbtb10244bpred2lev,1.30334349644
dynamic2bpredras2bpredbtb5124bpred2lev,1.30319341946
dynamic2bpredras8bpredbtb5121bpred2lev,1.30307574163
dynamic2bpredras16bpredbtb5121bpred2lev,1.30296335423
dynamic2bpredras4bpredbtb5121bpred2lev,1.30282127043
