Dynamic 1 way,Dynamic 2 way,Dynamic 4 way,Static 1 way,Static 2 way,Static 4 way
878.554706,876.039112,873.9975922,900.0096483,893.5255476,892.6900864
877.6721084,874.7711318,873.9975922,899.2009186,892.8467431,892.6900864
876.7065806,873.9975922,873.6965322,896.6090959,892.6900864,892.4469798
876.5055636,873.6965322,873.6965322,896.4682415,892.4469798,892.4469798
876.4348919,873.6965322,872.7826264,896.2602208,892.4469798,891.8402296
876.0591556,872.7826264,872.7826264,896.0761347,891.8402296,891.8402296
876.0353212,872.4832529,872.4832529,895.5865121,891.2349847,891.2349847
874.7556547,872.4832529,872.4832529,894.8361179,891.2349847,891.2349847
874.6556294,871.417693,871.417693,894.537512,890.6469918,890.6469918
874.6392857,871.417693,871.417693,894.117496,890.6469918,890.6469918
874.1290359,870.7869765,870.7869765,893.4032073,889.8000563,889.7179878
873.7621086,870.7869765,870.7869765,893.2122799,889.7179878,889.7179878
873.2646699,869.2571889,869.2571889,893.0552411,889.7179878,889.0966453
873.1355483,869.2571889,869.2571889,892.8639137,889.0966453,889.0966453
873.1355483,869.0894514,868.1314735,892.6910338,889.0966453,889.0609998
873.1088571,868.1314735,868.1314735,892.4295357,889.0609998,889.0609998
872.0544839,868.1314735,868.0237271,892.1344125,888.6341484,888.6341484
871.4694872,868.0237271,868.0237271,892.1344125,888.6341484,888.6341484
871.0157246,868.0237271,868.0237271,891.3732786,888.3315169,888.3315169
871.0157246,868.0237271,868.0237271,891.3572716,888.3315169,888.3315169
870.7323315,868.0237271,867.98406,891.3572716,887.6396698,887.6396698
870.4585811,867.98406,867.98406,891.3028438,887.6396698,887.6396698
870.4585811,867.8327064,867.8327064,891.2512274,887.6396698,887.6396698
870.394037,867.8327064,867.8327064,890.698342,887.6396698,887.6396698
869.5747496,866.7909524,866.7909524,890.39118,887.2659657,887.2659657
869.5747496,866.7909524,866.7909524,889.9220485,887.2659657,887.2659657
869.0402344,866.7909524,866.7909524,889.9220485,887.0161091,887.0161091
867.8327064,866.7909524,866.7909524,889.5246191,887.0161091,887.0161091
867.423414,865.3690373,865.3690373,889.0670161,887.0161091,887.0161091
867.423414,865.3690373,865.3690373,889.0670161,887.0161091,887.0161091
866.1822534,863.3904402,863.3904402,888.9085452,885.3739173,885.3739173
864.3524499,863.3904402,863.3904402,888.2883091,885.3739173,885.3739173
864.3524499,861.9169799,861.9169799,888.2883091,884.0199267,884.0199267
737.0681391,861.9169799,861.9169799,887.279999,884.0199267,884.0199267
735.4180704,861.9169799,861.9169799,885.9172582,884.0199267,884.0199267
733.9461896,861.9169799,861.9169799,885.9172582,884.0199267,884.0199267
733.4662367,730.7661678,730.1157701,882.2402176,708.6581929,707.9955858
732.6495913,730.1157701,730.1157701,882.1888192,708.1198307,707.9955858
732.283156,729.792898,729.703468,878.5606553,707.9955858,707.8027771
732.2591424,729.703468,729.703468,713.8007556,707.8027771,707.8027771
732.1934209,729.703468,728.8673782,713.1593492,707.8027771,707.3215614
731.9381252,728.8673782,728.8673782,711.1037657,707.3215614,707.3215614
730.7959135,728.472649,728.472649,710.9920536,706.8415396,706.8415396
730.6963974,728.472649,728.472649,710.8270717,706.8415396,706.8415396
730.6317905,728.0971352,728.0971352,710.6810723,706.3752004,706.3752004
729.9212954,728.0971352,728.0971352,710.292751,706.3752004,706.3752004
729.4672757,726.7845161,726.7845161,709.6976108,705.7034929,705.6384042
729.3521147,726.7845161,726.7845161,709.4607854,705.6384042,705.6384042
729.3521147,726.659757,726.659757,709.1276692,705.6384042,705.1456152
729.2627498,726.659757,726.659757,708.5611644,705.1456152,705.1456152
728.9472774,725.8152779,725.6489703,708.4097392,705.1456152,705.1173446
728.4280273,725.6489703,725.6489703,708.2851912,705.1173446,705.1173446
728.2685238,725.6489703,725.4350876,708.1334488,704.7788073,704.7788073
728.22966,725.4350876,725.4350876,707.9963372,704.7788073,704.7788073
728.22966,725.4350876,725.4350876,707.7889421,704.5387893,704.5387893
727.5597671,725.4350876,725.4350876,707.5548789,704.5387893,704.5387893
727.336856,725.4350876,725.2404183,707.5548789,703.990083,703.990083
727.336856,725.2404183,725.2404183,706.9512209,703.990083,703.990083
727.3104282,725.2404183,725.0798304,706.9385258,703.990083,703.990083
727.0961305,725.0798304,725.0798304,706.9385258,703.990083,703.990083
726.2153353,723.962797,723.962797,706.8953589,703.6936969,703.6936969
726.1448979,723.962797,723.962797,706.8544217,703.6936969,703.6936969
726.1448979,723.962797,723.962797,706.4159264,703.4955348,703.4955348
725.2044686,723.962797,723.962797,706.1723152,703.4955348,703.4955348
724.5325414,723.2216476,723.2216476,705.8002454,703.4955348,703.4955348
724.5325414,723.2216476,723.2216476,705.8002454,703.4955348,703.4955348
723.9788765,721.5712248,721.5712248,705.4850427,610.6027016,609.668915
722.4428923,721.5712248,721.5712248,705.1221162,610.6027016,
722.4428923,720.4824705,720.4824705,705.1221162,610.6027016,
593.7383725,720.4824705,720.4824705,704.9964324,610.6027016,
593.5050284,720.4824705,720.4824705,704.504521,609.668915,
591.0855949,720.4824705,720.4824705,704.504521,609.668915,
590.9717083,581.7864408,581.7864408,703.7048268,609.668915,
590.9653997,581.7864408,581.1055283,702.6240324,609.668915,
590.4596738,581.7864408,,702.6240324,609.668915,
590.1754151,581.1055283,,702.1931068,609.668915,
589.6550535,581.1055283,,702.1931068,609.668915,
589.6113594,581.1055283,,702.1931068,,
589.3757806,581.1055283,,702.1931068,,
589.2245617,581.1055283,,701.1192522,,
588.9975538,581.1055283,,701.1192522,,
588.5967913,581.1055283,,701.1192522,,
588.5927091,,,701.1192522,,
588.3912201,,,701.1192522,,
588.3912201,,,701.1192522,,
588.3912201,,,701.1192522,,
588.077852,,,701.1192522,,
587.9338935,,,620.6963092,,
587.8674772,,,620.1385646,,
587.8674772,,,618.3511006,,
587.8674772,,,618.2539596,,
587.8674772,,,618.1104971,,
587.7602433,,,617.9835412,,
587.6848652,,,617.6458704,,
587.6627625,,,617.1283572,,
587.6627625,,,616.9224221,,
587.5982142,,,616.6327558,,
587.506161,,,616.2245156,,
587.506161,,,616.140143,,
587.506161,,,616.0084689,,
587.506161,,,615.9001663,,
587.4910133,,,615.7682164,,
