Dynamic 1 way,Dynamic 2 way,Dynamic 4 way,Static 1 way,Static 2 way,Static 4 way
731.2104976,730.0976314,730.077491,969.3651406,968.5247932,968.5969124
731.00678,730.0573535,730.0573535,969.1084004,968.4527009,968.4527009
730.553226,729.8617062,729.8818317,968.8848547,967.945921,968.0179113
730.5324967,729.7410114,729.7611203,968.8702111,967.9099358,967.7660622
730.4868413,729.4574334,729.4373351,968.5098902,967.4183244,967.3498864
730.2145608,729.3569696,729.3569696,968.5068755,967.3823268,967.3109178
730.1743519,729.2020372,729.3226961,968.2938898,967.3139127,967.2779457
729.9414995,729.1618398,729.1819371,968.2186165,967.3109178,967.274967
729.5488316,729.1417452,729.1417452,967.8262184,967.2779457,967.2060318
729.408184,728.9409516,729.0413138,967.7734355,967.2779457,967.1700849
727.5825795,726.5936874,726.4935849,967.6325299,967.1700849,967.0945867
726.8732752,726.5135999,726.4935849,967.560611,967.1671546,967.0227184
726.8391441,726.1959931,726.1350357,965.3478198,964.3085905,964.022148
726.7540823,726.0944116,726.0131975,964.8513974,964.0937187,964.022148
726.2831221,725.9867266,725.8446052,964.8056791,963.7421243,963.777896
726.1993599,725.6418156,725.6823509,964.7698693,963.7063593,963.6348492
726.0972207,725.5534515,725.5331656,964.3237743,963.4501104,963.5931936
725.520849,725.4813199,725.4723251,964.1470239,963.4501104,963.5467993
724.6466502,725.4205109,723.421472,964.0959543,963.4143563,963.5216387
723.7956247,723.4012525,723.320403,964.0755023,963.4037868,963.5110362
723.6972765,723.297147,722.9971704,963.9886398,963.3786087,963.4858713
723.6365899,723.0173808,722.9567581,963.6154132,963.3071335,963.3428678
723.0098592,722.916357,722.8557766,963.5818262,963.2608804,963.3428678
722.9492574,722.8300884,722.8355887,963.5103147,963.2356848,963.3428678
720.4181665,718.277077,718.277077,961.6975395,960.5814804,960.5458327
719.3573086,718.1782945,718.277077,961.5537195,960.5101915,960.5101915
719.3375344,718.1388005,718.2375558,961.4502257,960.465123,960.1800762
719.2733289,718.1388005,718.0598451,961.1749783,960.1472101,960.1472101
718.6155613,717.4267665,717.5451765,961.0768578,960.1088805,960.0732926
718.51683,717.328166,717.3478807,961.0356217,960.0802408,960.0403351
718.4701964,717.2356889,717.1765102,961.0317168,959.9733733,959.9021613
718.4463757,717.0779333,717.1567894,961.0055322,959.8979276,959.9021613
717.8153903,716.9401233,717.0980744,960.7917141,959.8665652,959.8288107
717.7539429,716.9203916,716.9006626,960.3896173,959.8288107,959.7953928
717.1141826,716.1205113,716.140208,960.2470734,959.7598165,959.7953928
716.4793099,716.0614377,716.1205113,960.1758411,959.7576306,959.7932173
682.8400083,681.648083,681.648083,768.949803,768.1975512,768.1403532
682.0379885,681.6289067,681.6097332,768.7461648,768.1403532,768.1117622
682.0163813,681.0074051,680.9499579,768.3115786,767.7668993,767.7097929
681.8078048,680.9116733,680.8351362,768.3000005,767.7097929,767.6527077
681.3891608,680.1829136,680.431494,768.242847,767.4059172,767.377362
681.044253,680.1829136,680.3167081,768.2118312,767.2346658,767.2656082
679.3063755,678.3828792,678.3392076,768.1285336,767.2085306,767.1799997
679.2355488,678.2629169,678.3065749,767.9831228,767.122954,767.1799997
679.1346142,678.2438509,678.186669,767.8146915,767.094439,767.1776245
679.111287,678.192199,678.1731457,767.5753867,767.094439,767.1486415
678.7050458,678.1485611,678.1676137,767.4873929,767.0915896,767.0345589
678.6422935,678.1295112,678.0723775,767.4612236,766.9490526,766.8949828
678.5489712,677.2196124,677.2196124,765.6775257,764.7112368,764.7112368
678.5469692,676.9637826,677.1045661,765.426052,764.6260528,764.5409162
678.0692826,676.9254419,677.0213141,765.1055241,764.5743146,764.347202
677.677598,676.9054553,676.9438166,765.0203847,764.4323297,764.2574676
677.6584082,676.8479336,676.8871119,764.8386277,764.3142497,764.1439669
677.1941647,676.8479336,676.8862787,764.8369153,764.2774122,764.1439669
677.1652031,676.8287651,676.7904364,764.6683293,764.2290845,764.1355667
677.01179,675.5692953,676.771276,764.6562069,764.0872481,764.1204264
676.1581465,675.4898461,675.626767,764.5710796,764.0588966,764.1156048
676.0979363,675.0215934,675.4544254,764.418741,763.9738736,764.0022093
675.7718378,674.9106574,675.2129315,764.246707,763.9655258,763.9938528
673.1969496,674.8850097,675.1172286,764.1066581,763.9455431,763.8888979
673.0803724,672.4734889,672.5867476,762.8689698,761.9536263,761.8404844
672.6724558,672.4357571,672.5489841,762.7822189,761.7556832,761.783945
672.5970145,672.1712547,672.152396,762.6964294,761.7199237,761.748201
672.4923055,672.0581422,671.9827866,762.3677767,761.4656639,761.7199237
671.2763496,669.6024382,669.5460925,762.2289439,761.4429496,761.2734827
671.0731117,669.4710018,669.4897706,762.148525,761.3830564,761.2452566
670.7301289,669.4438346,669.331181,762.1202538,761.3299507,761.2452566
670.5615211,669.2936508,669.3124146,762.0354717,761.2983564,761.2419158
669.7768802,669.2186221,669.2373754,761.9432624,761.271774,761.2419158
669.6641959,669.1623782,669.2186221,761.6600463,761.2170357,761.2153103
669.6617558,667.1876148,667.5432537,761.5187705,761.2153103,761.18882
667.870685,667.1128641,667.2998195,761.4905311,761.1324043,761.1870863
647.5881062,646.69046,646.782814,668.7017628,667.9978706,667.9729996
647.2045462,646.69046,646.5797222,668.3009313,667.8735619,667.9232715
647.0568287,645.9984858,646.2012793,668.285822,667.5240937,667.548911
647.0039974,645.9800658,646.1459404,668.0473393,667.5240937,667.4248705
646.7937064,645.9690362,645.9690362,667.9357762,667.1874854,667.2350153
646.6276087,645.8454863,645.8270496,667.9107213,667.1874854,667.1130432
646.6091665,645.8217229,645.8217229,667.8633516,667.160579,667.1109778
646.5817979,645.7901842,645.7349058,667.8385263,667.1130432,667.1105873
646.253167,645.7164849,645.6980666,667.5159778,667.1109778,667.0882384
646.0255974,645.6980666,645.679651,667.432033,667.0634382,667.0857752
646.0071767,645.5324204,645.661238,667.3555417,667.0113666,667.0138516
646.0071767,645.4772522,645.5876122,667.28318,666.9865729,666.8899658
644.8748206,644.2618245,644.1319834,665.8312645,664.9909931,664.9909931
644.385378,644.1690675,644.1319834,665.4889212,664.8675379,664.9662929
644.3087461,643.8338124,643.907957,665.3585305,664.7484488,664.6497409
644.2962216,643.6792829,643.8338124,665.3338387,664.7484488,664.5890541
644.0918883,643.6051647,643.5496041,665.0276874,664.4976819,664.5223537
644.0216523,643.5931373,643.5496041,665.0030042,664.448352,664.5018163
643.9661068,643.2601705,643.2231388,664.9431245,664.448352,664.4903698
643.8058852,643.2416533,643.1491072,664.8937616,664.3990405,664.4730147
643.7832867,643.2007513,643.130606,664.828788,664.3917588,664.3990405
643.6436991,643.1861177,643.052804,664.5391905,664.3743916,664.3990405
643.5102054,643.1121074,642.9457399,664.4390333,664.3671175,664.3497472
643.4030396,643.052804,642.9419551,664.3912905,664.3004723,664.3497472
641.1034876,640.1124239,640.1306517,663.3134946,662.4454018,662.5191694
640.6797285,640.0577563,640.0941988,663.2881177,662.3962462,662.5191694
640.6182774,639.6507874,639.732922,663.2658485,662.2422746,662.217713
640.5876487,639.6055486,639.5873627,663.1501549,662.1440555,662.1686035
640.3678222,639.5509988,639.5597222,662.7870288,662.075165,662.0997322
640.2754125,639.3270156,639.4687218,662.7804944,662.072223,662.0967828
640.2389928,639.2906333,639.3452106,662.7340213,662.0491381,662.0245727
640.0710983,639.2505848,639.3270156,662.6641106,662.0476677,662.0014905
639.9942826,639.2334907,639.3088231,662.6641106,661.952397,662.0000119
639.7057507,639.199723,639.3088231,662.2393609,661.952397,661.9985707
639.6706981,639.0880616,639.2698738,662.1902352,661.9018142,661.9769415
639.6693594,639.0362471,639.2334907,662.0429673,661.8297428,661.9278571
