Dynamic 4 imult 3 ialu 4 ,Dynamic 4 imult 6 ialu 2,Dynamic 4 imult 2 ialu 2,Dynamic 4 imult 3 ialu 2
263.1488558,294.1168285,294.1539605,294.1292032
263.1110514,294.1168285,294.1292032,294.1230155
263.1110514,294.1044563,294.1292032,294.1168285
263.1056529,294.1044563,294.1230155,294.1168285
263.1056529,294.0982712,294.1168285,294.1106421
263.1002551,294.0982712,294.1106421,294.1044563
263.0948578,294.0982712,294.1106421,294.1044563
263.0948578,294.0982712,294.0920868,294.1044563
263.089461,294.0920868,294.0920868,294.0982712
263.089461,294.085903,294.085903,294.0920868
263.0840648,294.085903,294.0797198,294.0920868
263.0786691,294.0797198,294.0797198,294.085903
263.0786691,294.0735373,294.0735373,294.0673555
263.0624855,294.0735373,294.0549937,294.0549937
263.0516992,294.0549937,294.0426346,294.0241008
,,294.1292032,294.1292032
,,294.1230155,294.1106421
,,294.1230155,294.1044563
,,294.1106421,294.0982712
,,294.1106421,294.0920868
,,294.1106421,294.0797198
,,294.0982712,294.0673555
,,294.085903,294.0673555
,,294.036456,294.0611743
,,294.1292032,294.1292032
,,294.1230155,294.1106421
,,294.1230155,294.1044563
,,294.1106421,294.0982712
,,294.1106421,294.0920868
,,294.1106421,294.0797198
,,294.0982712,294.0673555
,,294.085903,294.0673555
,,294.036456,294.0611743
