Dynamic 8 imult 6 ialu 4,Dynamic 8 imult 6 ialu 6,Dynamic 8 imult 4 ialu 4,Dynamic 8 imult 1 ialu 2
284.0905553,281.4964379,284.0905553,348.4140326
284.0790025,281.4850267,284.044358,348.4140326
284.067452,281.4679143,284.044358,348.4140326
284.067452,281.4565089,284.038586,348.4140326
284.0616776,281.4565089,284.038586,348.3994611
284.0559038,281.4508071,284.038586,348.3994611
284.0559038,281.4451058,284.0328145,348.3921764
284.0501306,281.4394051,284.0328145,348.3557646
284.044358,281.433705,284.0328145,348.3557646
284.0328145,281.433705,284.0270437,
284.0328145,281.433705,284.0270437,
284.0270437,281.433705,284.0212734,
284.0212734,281.4280055,284.0212734,
284.0212734,281.4223066,284.0212734,
284.0155037,281.4223066,284.0212734,
284.0155037,281.4223066,284.0155037,
284.0155037,281.4166082,284.0097346,
284.0097346,281.4109104,284.0097346,
284.0097346,281.4109104,284.0039661,
284.0039661,281.4109104,284.0039661,
284.0039661,281.4052132,284.0039661,
283.9924308,281.4052132,283.9924308,
283.9924308,281.4052132,283.9924308,
283.9866641,281.3995166,283.9808979,
283.9866641,281.3767358,283.9808979,
