testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2,bzip2,0.2051,125,1523.64700146
dynamic2,hmmer,0.5240,125,596.374045802
dynamic2,mcf,0.3390,125,921.828908555
dynamic2,sjeng,0.2763,125,1131.0170105
dynamic2,milc,0.4824,125,647.8026534
dynamic2,equake,0.2741,125,1140.09485589
dynamic4,bzip2,0.2051,160,1950.26816187
dynamic4,hmmer,0.5236,160,763.941940413
dynamic4,mcf,0.3390,160,1179.94100295
dynamic4,sjeng,0.2763,160,1447.70177343
dynamic4,milc,0.4824,160,829.187396352
dynamic4,equake,0.2741,160,1459.32141554
dynamic8,bzip2,0.2051,195,2376.88932228
dynamic8,hmmer,0.5233,195,931.587999236
dynamic8,mcf,0.3390,195,1438.05309735
dynamic8,sjeng,0.2763,195,1764.38653637
dynamic8,milc,0.4824,195,1010.5721393
dynamic8,equake,0.2741,195,1778.54797519
static1,bzip2,0.1992,100,1255.02008032
static1,hmmer,0.4625,100,540.540540541
static1,mcf,0.3186,100,784.682988073
static1,sjeng,0.2684,100,931.445603577
static1,milc,0.4234,100,590.45819556
static1,equake,0.2696,100,927.299703264
static2,bzip2,0.1992,115,1443.27309237
static2,hmmer,0.4625,115,621.621621622
static2,mcf,0.3186,115,902.385436284
static2,sjeng,0.2684,115,1071.16244411
static2,milc,0.4234,115,679.026924894
static2,equake,0.2696,115,1066.39465875
static4,bzip2,0.1992,145,1819.77911647
static4,hmmer,0.4623,145,784.122863941
static4,mcf,0.3186,145,1137.79033271
static4,sjeng,0.2684,145,1350.59612519
static4,milc,0.4234,145,856.164383562
static4,equake,0.2696,145,1344.58456973
