testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,bzip2,0.5489,125,569.3204591
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,hmmer,0.9534,125,327.774281519
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,mcf,0.8711,125,358.741820686
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,sjeng,0.9050,125,345.303867403
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,milc,0.8151,125,383.388541283
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il11024321lbpredcomb,equake,0.8679,125,360.064523563
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,bzip2,0.5483,125,569.943461609
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,hmmer,0.9531,125,327.877452523
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,mcf,0.7306,125,427.730632357
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,sjeng,0.9054,125,345.151314336
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,milc,0.8140,125,383.906633907
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed1cachedl2ul28192642lcacheil1il1512321lbpredcomb,equake,0.7504,125,416.4445629
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,bzip2,0.5414,125,577.207240488
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,hmmer,0.9568,125,326.609531773
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,mcf,0.8963,125,348.655584068
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,sjeng,0.8169,125,382.543763006
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,milc,0.8073,125,387.092778397
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed4cachedl2ul24096642lcacheil1il12048321lbpredcomb,equake,0.8869,125,352.350885105
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,bzip2,0.5863,125,533.003581784
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,hmmer,0.9625,125,324.675324675
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,mcf,0.7467,125,418.508102317
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,sjeng,0.9075,125,344.35261708
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,milc,0.7927,125,394.222278289
dynamic2decodewidth2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1512321lbpredcomb,equake,0.7731,125,404.216789549
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,bzip2,0.6268,125,498.56413529
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,hmmer,0.9603,125,325.419139852
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,mcf,0.9064,125,344.770520741
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,sjeng,0.9187,125,340.154566235
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,milc,0.7967,125,392.243002385
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512641lbpredcomb,equake,0.9063,125,344.808562286
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,bzip2,0.5468,125,571.506949525
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,hmmer,0.9564,125,326.746131326
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,mcf,0.8957,125,348.889136988
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,sjeng,0.8872,125,352.231740307
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,milc,0.8136,125,384.095378564
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096644lcacheil1il12048321lbpredcomb,equake,0.8837,125,353.626796424
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,bzip2,0.6268,125,498.56413529
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,hmmer,0.9601,125,325.486928445
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,mcf,0.9064,125,344.770520741
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,sjeng,0.9187,125,340.154566235
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,milc,0.7967,125,392.243002385
dynamic2decodewidth4bpredras8fetchifqsize8fetchspeed2cachedl2ul240961282lcacheil1il1512641lbpredcomb,equake,0.9059,125,344.960812452
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096642lcacheil1il11024321lbpredcomb,bzip2,0.5407,125,577.954503421
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096642lcacheil1il11024321lbpredcomb,hmmer,0.9540,125,327.568134172
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096642lcacheil1il11024321lbpredcomb,mcf,0.8773,125,356.206542802
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul24096642lcacheil1il11024321lbpredcomb,sjeng,0.8248,125,378.879728419
