testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,bzip2,0.6268,125,498.56413529
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,hmmer,0.9613,125,325.080619994
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,mcf,0.9064,125,344.770520741
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,sjeng,0.9187,125,340.154566235
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,milc,0.8251,125,378.74197067
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,equake,0.9063,125,344.808562286
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,bzip2,0.6268,125,498.56413529
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,hmmer,0.9600,125,325.520833333
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,mcf,0.9064,125,344.770520741
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,sjeng,0.9187,125,340.154566235
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,milc,0.7967,125,392.243002385
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,equake,0.9063,125,344.808562286
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,bzip2,0.7763,125,402.55056035
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,hmmer,1.3181,125,237.083681056
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,mcf,1.1262,125,277.481797194
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,sjeng,1.2472,125,250.561257216
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,milc,0.9098,125,343.482083974
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu3resfpmult3resfpalu1,equake,1.1223,125,278.446048294
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,bzip2,0.7411,125,421.670489812
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,hmmer,0.9645,125,324.002073613
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,mcf,0.9100,125,343.406593407
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,sjeng,0.9052,125,345.227574017
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,milc,0.8222,125,380.077839942
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult1resfpalu2,equake,0.8979,125,348.034302261
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,bzip2,0.9178,125,340.488123774
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,hmmer,1.1399,125,274.146854987
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,mcf,1.1344,125,275.476022567
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,sjeng,1.1926,125,262.032533959
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,milc,0.9497,125,329.051279351
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult3resfpalu1,equake,1.1159,125,280.043014607
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,bzip2,0.7411,125,421.670489812
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,hmmer,0.9646,125,323.968484346
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,mcf,0.9100,125,343.406593407
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,sjeng,0.9052,125,345.227574017
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,milc,0.8222,125,380.077839942
dynamic2resmemport2resimult3cachedl2ul240961282lcacheil1il1256642lresialu1resfpmult2resfpalu1,equake,0.8975,125,348.189415042
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,bzip2,0.5828,125,536.204529856
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,hmmer,0.9612,125,325.114440283
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,mcf,0.9058,125,344.998896004
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,sjeng,0.9186,125,340.191595907
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,milc,0.8251,125,378.74197067
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,equake,0.9029,125,346.106988592
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,bzip2,0.9178,125,340.488123774
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,hmmer,1.1409,125,273.906564993
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,mcf,1.1435,125,273.283777875
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,sjeng,1.2126,125,257.710704272
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,milc,0.9087,125,343.897876087
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu3,equake,1.1505,125,271.621034333
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,bzip2,0.6268,125,498.56413529
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,hmmer,0.9602,125,325.453030619
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,mcf,0.9064,125,344.770520741
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,sjeng,0.9187,125,340.154566235
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,milc,0.7967,125,392.243002385
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu2,equake,0.9051,125,345.265716495
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,bzip2,0.9178,125,340.488123774
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,hmmer,1.1403,125,274.050688415
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,mcf,1.1344,125,275.476022567
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,sjeng,1.1926,125,262.032533959
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,milc,0.9497,125,329.051279351
dynamic2resmemport1resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu1,equake,1.1159,125,280.043014607
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,bzip2,0.5828,125,536.204529856
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,hmmer,0.9611,125,325.14826761
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,mcf,0.9058,125,344.998896004
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,sjeng,0.9186,125,340.191595907
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,milc,0.8251,125,378.74197067
dynamic2resmemport1resimult3cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult2resfpalu1,equake,0.9040,125,345.685840708
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,bzip2,0.9178,125,340.488123774
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,hmmer,1.1414,125,273.786577887
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,mcf,1.1435,125,273.283777875
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,sjeng,1.2126,125,257.710704272
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,milc,0.9087,125,343.897876087
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult1resfpalu1,equake,1.1498,125,271.786397634
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,bzip2,0.9178,125,340.488123774
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,hmmer,1.1406,125,273.97860775
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,mcf,1.1435,125,273.283777875
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,sjeng,1.2126,125,257.710704272
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,milc,0.9087,125,343.897876087
dynamic2resmemport2resimult1cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult1resfpalu1,equake,1.1498,125,271.786397634
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,bzip2,0.5828,125,536.204529856
dynamic2resmemport1resimult1cachedl2ul240961282lcacheil1il1512641lresialu1resfpmult3resfpalu1,hmmer,0.9601,125,325.486928445
