testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,bzip2,0.7411,125,421.670489812
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,hmmer,0.9634,125,324.372015777
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,mcf,0.9083,125,344.049322911
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,sjeng,0.9050,125,345.303867403
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,milc,0.7920,125,394.570707071
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1256642lbpredcomb,equake,0.8951,125,349.123003016
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,bzip2,0.7450,125,419.463087248
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,hmmer,0.9067,125,344.656446454
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,mcf,0.8979,125,348.034302261
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,sjeng,0.8935,125,349.748181309
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,milc,0.7938,125,393.675988914
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed4cachedl2ul240961282lcacheil1il1512642lbpredcomb,equake,0.8862,125,352.62920334
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,bzip2,0.6782,125,460.778531407
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,hmmer,0.9645,125,324.002073613
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,mcf,0.9176,125,340.56233653
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,sjeng,0.9058,125,344.998896004
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,milc,0.7963,125,392.440035163
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1256322lbpredcomb,equake,0.8067,125,387.380686748
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,bzip2,0.7406,125,421.955171483
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,hmmer,0.9566,125,326.677817269
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,mcf,0.8850,125,353.107344633
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,sjeng,0.9017,125,346.567594544
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,milc,0.7881,125,396.523283847
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1256642lbpredcomb,equake,0.8148,125,383.52970054
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,bzip2,0.6727,125,464.545859967
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,hmmer,0.9630,125,324.50674974
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,mcf,0.9151,125,341.492733035
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,sjeng,0.8513,125,367.085633737
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,milc,0.7803,125,400.486992182
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed3cachedl2ul220481282lcacheil1il1256642lbpredcomb,equake,0.8970,125,348.383500557
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,bzip2,0.7365,125,424.304141208
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,hmmer,0.9636,125,324.304690743
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,mcf,0.9107,125,343.142637532
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,sjeng,0.8952,125,349.084003575
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,milc,0.7915,125,394.819962097
dynamic2decodewidth4bpredras8fetchifqsize4fetchspeed3cachedl2ul240961282lcacheil1il1512322lbpredcomb,equake,0.8961,125,348.73340029
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1512642lbpredcomb,bzip2,0.7445,125,419.744795165
dynamic2decodewidth1bpredras8fetchifqsize8fetchspeed1cachedl2ul240961282lcacheil1il1512642lbpredcomb,hmmer,0.9001,125,347.183646262
