testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,bzip2,1.1878,195,410.422630072
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,hmmer,1.2361,195,394.385567511
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,mcf,2.4242,195,201.097269202
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,sjeng,2.4696,195,197.400388727
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,milc,1.8015,195,270.607826811
dynamic8resimult3cachedl2ul240961282lcacheil1il1256642lresialu7resfpmult2resfpalu2,equake,2.0391,195,239.076062969
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,bzip2,1.1070,160,361.336946703
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,hmmer,1.2177,160,328.488133366
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,mcf,1.9359,160,206.622242884
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,sjeng,2.0458,160,195.522533972
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,milc,1.3636,160,293.341155764
dynamic4resimult1cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult2resfpalu2,equake,1.6996,160,235.349493999
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,bzip2,1.1864,195,410.906945381
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,hmmer,1.2346,195,394.864733517
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,mcf,2.4867,195,196.042948486
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,sjeng,2.4722,195,197.192783755
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,milc,1.8377,195,265.277248735
dynamic8resimult7cachedl2ul240961282lcacheil1il1256642lresialu6resfpmult2resfpalu2,equake,2.0545,195,237.284010708
dynamic8resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,bzip2,1.0630,195,458.607714017
dynamic8resimult1cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu2,hmmer,1.1954,195,407.813284256
