testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,bzip2,1.0374,160,385.579332948
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,hmmer,1.1895,160,336.275746112
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,mcf,1.6518,160,242.160067805
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,sjeng,1.6798,160,238.123586141
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,milc,1.3700,160,291.97080292
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu4,equake,1.5376,160,260.145681582
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,bzip2,1.0374,160,385.579332948
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,hmmer,1.1891,160,336.388865529
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,mcf,1.6518,160,242.160067805
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,sjeng,1.6798,160,238.123586141
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,milc,1.3278,160,301.250188281
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult5resfpalu2,equake,1.5376,160,260.145681582
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,bzip2,1.0374,160,385.579332948
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,hmmer,1.1886,160,336.530371866
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,mcf,1.6518,160,242.160067805
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,sjeng,1.6798,160,238.123586141
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,milc,1.3520,160,295.857988166
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult6resfpalu2,equake,1.5376,160,260.145681582
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,bzip2,1.0960,160,364.96350365
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,hmmer,1.2166,160,328.785138912
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,mcf,1.9267,160,207.608864899
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,sjeng,1.9549,160,204.614046754
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,milc,1.5155,160,263.939293962
dynamic4resimult4cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult5resfpalu2,equake,1.6795,160,238.166120869
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,bzip2,1.1070,160,361.336946703
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,hmmer,1.2187,160,328.218593583
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,mcf,1.9359,160,206.622242884
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,sjeng,2.0458,160,195.522533972
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,milc,1.4911,160,268.258332774
dynamic4resimult3cachedl2ul240961282lcacheil1il1256642lresialu4resfpmult3resfpalu4,equake,1.6996,160,235.349493999
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,bzip2,1.0374,160,385.579332948
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,hmmer,1.1892,160,336.36057854
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,mcf,1.6518,160,242.160067805
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,sjeng,1.6798,160,238.123586141
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,milc,1.3278,160,301.250188281
dynamic4resimult2cachedl2ul240961282lcacheil1il1256642lresialu2resfpmult2resfpalu6,equake,1.5376,160,260.145681582
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu4,bzip2,1.0960,160,364.96350365
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu4,hmmer,1.2166,160,328.785138912
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu4,mcf,1.9267,160,207.608864899
dynamic4resimult5cachedl2ul240961282lcacheil1il1256642lresialu3resfpmult2resfpalu4,sjeng,1.9549,160,204.614046754
