testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,bzip2,0.2487,195,1960.19300362
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,hmmer,0.6143,195,793.58619567
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,mcf,0.5628,195,866.204690832
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,sjeng,0.3934,195,1239.19674631
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,milc,0.5907,195,825.292026409
dynamic8cachedl2dl232768161lcacheil1il1204882lbpred2lev,equake,0.4921,195,990.652306442
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,bzip2,0.2473,125,1263.64739183
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,hmmer,0.6731,125,464.269796464
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,mcf,0.5076,125,615.642237983
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,sjeng,0.3621,125,863.021264844
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,milc,0.5816,125,537.310866575
dynamic2cachedl2dl216384161lcacheil1il125684lbpred2lev,equake,0.3388,125,922.373081464
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,bzip2,0.0514,195,9484.43579767
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,hmmer,0.5354,195,910.534180052
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,mcf,0.0397,195,12279.5969773
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,sjeng,0.0674,195,7232.93768546
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,milc,0.0246,195,19817.0731707
dynamic8cachedl2dl2256161lcacheil1il1102482lbpred2lev,equake,0.1513,195,3222.07534699
dynamic8cachedl2dl2256161lcacheil1il1102481lbpred2lev,bzip2,0.0491,195,9928.71690428
dynamic8cachedl2dl2256161lcacheil1il1102481lbpred2lev,hmmer,0.0995,195,4899.49748744
dynamic8cachedl2dl2256161lcacheil1il1102481lbpred2lev,mcf,0.0288,195,16927.0833333
