testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,bzip2,0.2255,145,1607.53880266
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,hmmer,0.4873,145,743.894931254
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,mcf,0.4643,145,780.74520784
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,sjeng,0.3469,145,1044.96973191
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,milc,0.4926,145,735.891189606
static4cachedl2dl232768161lcacheil1il1204884lbpred2lev,equake,0.4006,145,904.892661008
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,bzip2,0.0867,145,4181.08419839
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,hmmer,0.1568,145,2311.8622449
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,mcf,0.0541,145,6700.55452865
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,sjeng,0.1004,145,3610.55776892
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,milc,0.0364,145,9958.79120879
static4cachedl2dl22048161lcacheil1il1409681lbpred2lev,equake,0.2519,145,1439.06312029
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,bzip2,0.0861,115,3339.14053426
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,hmmer,0.1419,115,2026.07470049
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,mcf,0.0371,115,7749.32614555
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,sjeng,0.1002,115,2869.26147705
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,milc,0.0363,115,7920.11019284
static2cachedl2dl2512161lcacheil1il1102481lbpred2lev,equake,0.0505,115,5693.06930693
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,bzip2,0.0509,115,5648.33005894
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,hmmer,0.1083,115,2654.66297322
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,mcf,0.0380,115,7565.78947368
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,sjeng,0.0773,115,3719.27554981
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,milc,0.0246,115,11686.9918699
static2cachedl2dl21024161lcacheil1il1409681lbpred2lev,equake,0.2463,115,1167.27568006
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,bzip2,0.0514,145,7052.52918288
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,hmmer,0.5008,145,723.841853035
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,mcf,0.0400,145,9062.5
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,sjeng,0.0749,145,4839.78638184
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,milc,0.0247,145,14676.1133603
static4cachedl2dl2512161lcacheil1il1204882lbpred2lev,equake,0.3534,145,1025.74985852
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,bzip2,0.2461,115,1168.22429907
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,hmmer,0.6676,115,430.647094068
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,mcf,0.4097,115,701.732975348
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,sjeng,0.3682,115,780.82563824
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,milc,0.5019,115,572.823271568
static2cachedl2dl216384161lcacheil1il151282lbpred2lev,equake,0.3237,115,888.168056843
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,bzip2,0.2909,145,1246.13269165
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,hmmer,0.6185,145,586.095392078
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,mcf,0.5232,145,692.851681957
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,sjeng,0.4005,145,905.118601748
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,milc,0.5104,145,710.227272727
static4cachedl2dl265536161lcacheil1il1102482lbpred2lev,equake,0.4004,145,905.344655345
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,bzip2,0.0492,100,5081.30081301
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,hmmer,0.1072,100,2332.08955224
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,mcf,0.0379,100,6596.3060686
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,sjeng,0.0772,100,3238.34196891
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,milc,0.0245,100,10204.0816327
static1cachedl2dl2512161lcacheil1il1409681lbpred2lev,equake,0.2458,100,1017.08706265
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,bzip2,0.1795,115,1601.67130919
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,hmmer,0.5678,115,506.340260655
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,mcf,0.4935,115,582.573454914
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,sjeng,0.3814,115,753.801782905
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,milc,0.4912,115,585.301302932
static2cachedl2dl232768161lcacheil1il1819281lbpred2lev,equake,0.4516,115,636.625332152
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,bzip2,0.2454,115,1171.55664222
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,hmmer,0.6664,115,431.422569028
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,mcf,0.3537,115,812.8357365
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,sjeng,0.4416,115,651.041666667
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,milc,0.5003,115,574.655206876
static2cachedl2dl232768161lcacheil1il1102481lbpred2lev,equake,0.2719,115,1057.37403457
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,bzip2,0.1489,115,1930.82605776
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,hmmer,0.6166,115,466.266623419
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,mcf,0.4849,115,592.905753764
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,sjeng,0.3359,115,855.909496874
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,milc,0.4913,115,585.182169754
static2cachedl2dl216384161lcacheil1il1409681lbpred2lev,equake,0.4630,115,620.950323974
static1cachedl2dl24096161lcacheil1il151284lbpred2lev,bzip2,0.1655,100,1510.57401813
