testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,bzip2,0.1293,160,3093.5808198
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,hmmer,0.5730,160,698.080279232
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,mcf,0.0603,160,6633.49917081
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,sjeng,0.1413,160,2830.85633404
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,milc,0.0373,160,10723.8605898
dynamic4cachedl2dl21024161lcacheil1il151284lbpredbimod,equake,0.3516,160,1137.65642776
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,bzip2,0.1638,160,2442.002442
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,hmmer,0.5638,160,709.471443774
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,mcf,0.5287,160,756.572725553
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,sjeng,0.2774,160,1441.96106705
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,milc,0.5762,160,694.203401597
dynamic4cachedl2dl28192161lcacheil1il1409682lbpredbimod,equake,0.4628,160,864.304235091
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,bzip2,0.1857,125,1682.82175552
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,hmmer,0.6128,125,509.954308094
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,mcf,0.5551,125,562.961628535
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,sjeng,0.3822,125,817.634746206
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,milc,0.5738,125,544.614848379
dynamic2cachedl2dl232768161lcacheil1il1819281lbpredbimod,equake,0.4843,125,645.261201734
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,bzip2,0.3178,125,983.322844556
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,hmmer,0.7408,125,421.8412527
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,mcf,0.4169,125,749.580235068
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,sjeng,0.4223,125,739.99526403
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,milc,0.5810,125,537.865748709
dynamic2cachedl2dl265536161lcacheil1il1204881lbpredbimod,equake,0.3886,125,804.168811117
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,bzip2,0.0518,125,6032.81853282
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,hmmer,0.5373,125,581.611762516
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,mcf,0.0406,125,7697.04433498
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,sjeng,0.0773,125,4042.69081501
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,milc,0.0252,125,12400.7936508
dynamic2cachedl2dl21024161lcacheil1il1102484lbpredbimod,equake,0.4340,125,720.046082949
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,bzip2,0.0872,160,4587.1559633
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,hmmer,0.1670,160,2395.20958084
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,mcf,0.0595,160,6722.68907563
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,sjeng,0.1002,160,3992.01596806
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,milc,0.0371,160,10781.671159
dynamic4cachedl2dl24096161lcacheil1il1819281lbpredbimod,equake,0.3924,160,1019.36799185
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,bzip2,0.0514,160,7782.10116732
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,hmmer,0.5455,160,733.272227314
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,mcf,0.0397,160,10075.5667506
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,sjeng,0.0751,160,5326.23169108
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,milc,0.0247,160,16194.3319838
dynamic4cachedl2dl2512161lcacheil1il1102482lbpredbimod,equake,0.1494,160,2677.37617135
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,bzip2,0.1443,125,2165.62716563
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,hmmer,0.7400,125,422.297297297
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,mcf,0.4708,125,663.763806287
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,sjeng,0.3168,125,986.426767677
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,milc,0.5781,125,540.563916277
dynamic2cachedl2dl28192161lcacheil1il1204881lbpredbimod,equake,0.4456,125,701.301615799
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,bzip2,0.1709,195,2852.54534816
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,hmmer,0.7295,195,668.265935572
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,mcf,0.4902,195,994.492044064
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,sjeng,0.3198,195,1524.3902439
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,milc,0.5849,195,833.47580783
dynamic8cachedl2dl24096161lcacheil1il151282lbpredbimod,equake,0.3444,195,1415.50522648
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,bzip2,0.1671,125,1870.13764213
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,hmmer,0.5638,125,554.274565449
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,mcf,0.5442,125,574.237412716
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,sjeng,0.2798,125,1116.86919228
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,milc,0.5829,125,536.112540745
dynamic2cachedl2dl28192161lcacheil1il1102484lbpredbimod,equake,0.4631,125,674.800259123
dynamic4cachedl2dl265536161lcacheil1il1204882lbpredbimod,bzip2,0.2977,160,1343.63453141
