testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,bzip2,0.0859,115,3346.91501746
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,hmmer,0.1663,115,1728.80336741
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,mcf,0.0593,115,4848.22934233
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,sjeng,0.0999,115,2877.87787788
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,milc,0.0371,115,7749.32614555
static2cachedl2dl24096161lcacheil1il1819281lbpredbimod,equake,0.3692,115,778.710725894
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,bzip2,0.0861,145,4210.22067364
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,hmmer,0.1419,145,2554.61592671
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,mcf,0.0371,145,9770.88948787
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,sjeng,0.0996,145,3639.55823293
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,milc,0.0363,145,9986.22589532
static4cachedl2dl2512161lcacheil1il1102481lbpredbimod,equake,0.0504,145,7192.46031746
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,bzip2,0.1684,100,1484.56057007
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,hmmer,0.6284,100,397.835773393
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,mcf,0.1499,100,1667.77851901
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,sjeng,0.2356,100,1061.12054329
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,milc,0.4884,100,511.875511876
static1cachedl2dl21024161lcacheil1il151282lbpredbimod,equake,0.1226,100,2039.15171289
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,bzip2,0.0514,115,5593.38521401
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,hmmer,0.5003,115,574.655206876
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,mcf,0.0400,115,7187.5
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,sjeng,0.0746,115,3853.88739946
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,milc,0.0247,115,11639.6761134
static2cachedl2dl2512161lcacheil1il1204882lbpredbimod,equake,0.3559,115,807.811182917
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,bzip2,0.1620,115,1774.69135802
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,hmmer,0.5245,115,548.141086749
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,mcf,0.4838,115,594.253823894
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,sjeng,0.2747,115,1046.59628686
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,milc,0.4977,115,577.657223227
static2cachedl2dl28192161lcacheil1il1102484lbpredbimod,equake,0.4283,115,671.258463694
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,bzip2,0.1279,115,2247.84988272
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,hmmer,0.5053,115,568.968929349
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,mcf,0.0446,115,6446.18834081
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,sjeng,0.1012,115,2840.90909091
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,milc,0.0371,115,7749.32614555
static2cachedl2dl2512161lcacheil1il151282lbpredbimod,equake,0.0761,115,3777.92378449
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,bzip2,0.0514,115,5593.38521401
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,hmmer,0.4657,115,617.350225467
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,mcf,0.0399,115,7205.51378446
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,sjeng,0.0739,115,3890.39242219
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,milc,0.0247,115,11639.6761134
static2cachedl2dl2512161lcacheil1il1102484lbpredbimod,equake,0.3910,115,735.294117647
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,bzip2,0.1655,115,1737.16012085
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,hmmer,0.5656,115,508.309759547
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,mcf,0.5010,115,573.852295409
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,sjeng,0.2896,115,992.748618785
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,milc,0.5029,115,571.684231458
static2cachedl2dl24096161lcacheil1il151284lbpredbimod,equake,0.4605,115,624.321389794
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,bzip2,0.1224,145,2961.60130719
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,hmmer,0.5208,145,696.044546851
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,mcf,0.0599,145,6051.75292154
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,sjeng,0.1407,145,2576.40369581
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,milc,0.0373,145,9718.49865952
static4cachedl2dl24096161lcacheil1il1409682lbpredbimod,equake,0.4274,145,848.151614413
static1cachedl2dl2256161lcacheil1il1204884lbpredbimod,bzip2,0.0515,100,4854.36893204
static1cachedl2dl2256161lcacheil1il1204884lbpredbimod,hmmer,0.4612,100,542.064180399
