testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,bzip2,0.2459,125,1270.84180561
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,hmmer,0.7909,125,395.119484132
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,mcf,0.3261,125,958.295001533
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,sjeng,0.3489,125,895.672112353
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,milc,0.5930,125,526.981450253
dynamic2cachedl2dl210241616lcacheil1il1102481lbpredcomb,equake,0.2252,125,1387.65541741
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,bzip2,0.2464,125,1268.26298701
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,hmmer,0.7924,125,394.371529531
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,mcf,0.6468,125,483.147804576
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,sjeng,0.3496,125,893.878718535
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,milc,0.6065,125,515.251442704
dynamic2cachedl2dl210241616lcacheil1il1102482lbpredcomb,equake,0.4445,125,703.03712036
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,bzip2,0.2465,125,1267.7484787
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,hmmer,0.7929,125,394.122840207
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,mcf,0.6566,125,475.936643314
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,sjeng,0.3497,125,893.623105519
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,milc,0.6074,125,514.487981561
dynamic2cachedl2dl210241616lcacheil1il1102484lbpredcomb,equake,0.6240,125,500.801282051
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,bzip2,0.2462,125,1269.29325751
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,hmmer,0.7921,125,394.520893827
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,mcf,0.3949,125,791.33957964
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,sjeng,0.3493,125,894.646435729
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,milc,0.5937,125,526.360114536
dynamic2cachedl2dl210241616lcacheil1il1204881lbpredcomb,equake,0.3746,125,834.223171383
dynamic2cachedl2dl210241616lcacheil1il1204882lbpredcomb,bzip2,0.2465,125,1267.7484787
dynamic2cachedl2dl210241616lcacheil1il1204882lbpredcomb,hmmer,0.7928,125,394.172552977
dynamic2cachedl2dl210241616lcacheil1il1204882lbpredcomb,mcf,0.6566,125,475.936643314
dynamic2cachedl2dl210241616lcacheil1il1204882lbpredcomb,sjeng,0.3497,125,893.623105519
dynamic2cachedl2dl210241616lcacheil1il1204882lbpredcomb,milc,0.6069,125,514.911847092
