testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,bzip2,0.2460,100,1016.2601626
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,hmmer,0.6674,100,374.587953251
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,mcf,0.5753,100,434.555883887
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,sjeng,0.3259,100,767.106474379
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,milc,0.5171,100,483.465480565
static1cachedl2dl2512168lcacheil1il1819281lbpredcomb,equake,0.5628,100,444.20753376
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,bzip2,0.2700,115,1064.81481481
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,hmmer,0.6600,115,435.606060606
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,mcf,0.5739,115,500.958355114
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,sjeng,0.3738,115,769.127875869
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,milc,0.5184,115,554.591049383
static2cachedl2dl24096168lcacheil1il1102484lbpredcomb,equake,0.5767,115,498.526096757
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,bzip2,0.2445,145,1482.61758691
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,hmmer,0.6646,145,545.440866687
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,mcf,0.5688,145,637.306610408
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,sjeng,0.3242,145,1118.1369525
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,milc,0.5168,145,701.431888545
static4cachedl2dl22561616lcacheil1il1102482lbpredcomb,equake,0.4469,145,811.143432535
static1cachedl2dl210241616lcacheil1il1102481lbpredcomb,bzip2,0.2411,100,1036.91414351
static1cachedl2dl210241616lcacheil1il1102481lbpredcomb,hmmer,0.6587,100,379.535448611
static1cachedl2dl210241616lcacheil1il1102481lbpredcomb,mcf,0.3053,100,818.866688503
static1cachedl2dl210241616lcacheil1il1102481lbpredcomb,sjeng,0.3365,100,742.94205052
static1cachedl2dl210241616lcacheil1il1102481lbpredcomb,milc,0.5068,100,493.291239148
