testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2bpredras0bpredbtb10241bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb10241bpred2lev,hmmer,0.8694,125,359.443294226
dynamic2bpredras0bpredbtb10241bpred2lev,mcf,0.4853,125,643.931588708
dynamic2bpredras0bpredbtb10241bpred2lev,sjeng,0.4227,125,739.29500828
dynamic2bpredras0bpredbtb10241bpred2lev,milc,0.7775,125,401.92926045
dynamic2bpredras0bpredbtb10241bpred2lev,equake,0.3595,125,869.26286509
dynamic2bpredras0bpredbtb10241bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10241bpredbimod,hmmer,0.8766,125,356.490987908
dynamic2bpredras0bpredbtb10241bpredbimod,mcf,0.4854,125,643.798928719
dynamic2bpredras0bpredbtb10241bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb10241bpredbimod,milc,0.7799,125,400.692396461
dynamic2bpredras0bpredbtb10241bpredbimod,equake,0.3595,125,869.26286509
dynamic2bpredras0bpredbtb10241bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10241bpredcomb,hmmer,0.8790,125,355.517633675
dynamic2bpredras0bpredbtb10241bpredcomb,mcf,0.4898,125,638.015516537
dynamic2bpredras0bpredbtb10241bpredcomb,sjeng,0.4238,125,737.376120812
dynamic2bpredras0bpredbtb10241bpredcomb,milc,0.7798,125,400.743780457
dynamic2bpredras0bpredbtb10241bpredcomb,equake,0.3626,125,861.831218974
dynamic2bpredras0bpredbtb10242bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb10242bpred2lev,hmmer,0.8682,125,359.940105966
dynamic2bpredras0bpredbtb10242bpred2lev,mcf,0.4864,125,642.475328947
dynamic2bpredras0bpredbtb10242bpred2lev,sjeng,0.4226,125,739.469947941
dynamic2bpredras0bpredbtb10242bpred2lev,milc,0.7775,125,401.92926045
dynamic2bpredras0bpredbtb10242bpred2lev,equake,0.3628,125,861.356119074
dynamic2bpredras0bpredbtb10242bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10242bpredbimod,hmmer,0.8773,125,356.206542802
dynamic2bpredras0bpredbtb10242bpredbimod,mcf,0.4873,125,641.28873384
dynamic2bpredras0bpredbtb10242bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb10242bpredbimod,milc,0.7798,125,400.743780457
dynamic2bpredras0bpredbtb10242bpredbimod,equake,0.3629,125,861.1187655
dynamic2bpredras0bpredbtb10242bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10242bpredcomb,hmmer,0.8799,125,355.153994772
dynamic2bpredras0bpredbtb10242bpredcomb,mcf,0.4917,125,635.550132194
dynamic2bpredras0bpredbtb10242bpredcomb,sjeng,0.4239,125,737.202170323
dynamic2bpredras0bpredbtb10242bpredcomb,milc,0.7797,125,400.795177632
dynamic2bpredras0bpredbtb10242bpredcomb,equake,0.3660,125,853.825136612
dynamic2bpredras0bpredbtb10244bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb10244bpred2lev,hmmer,0.8689,125,359.650132351
dynamic2bpredras0bpredbtb10244bpred2lev,mcf,0.4864,125,642.475328947
dynamic2bpredras0bpredbtb10244bpred2lev,sjeng,0.4226,125,739.469947941
dynamic2bpredras0bpredbtb10244bpred2lev,milc,0.7775,125,401.92926045
dynamic2bpredras0bpredbtb10244bpred2lev,equake,0.3628,125,861.356119074
dynamic2bpredras0bpredbtb10244bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10244bpredbimod,hmmer,0.8773,125,356.206542802
dynamic2bpredras0bpredbtb10244bpredbimod,mcf,0.4873,125,641.28873384
dynamic2bpredras0bpredbtb10244bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb10244bpredbimod,milc,0.7798,125,400.743780457
dynamic2bpredras0bpredbtb10244bpredbimod,equake,0.3629,125,861.1187655
dynamic2bpredras0bpredbtb10244bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb10244bpredcomb,hmmer,0.8782,125,355.841493965
dynamic2bpredras0bpredbtb10244bpredcomb,mcf,0.4917,125,635.550132194
dynamic2bpredras0bpredbtb10244bpredcomb,sjeng,0.4239,125,737.202170323
dynamic2bpredras0bpredbtb10244bpredcomb,milc,0.7797,125,400.795177632
dynamic2bpredras0bpredbtb10244bpredcomb,equake,0.3660,125,853.825136612
dynamic2bpredras0bpredbtb5121bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb5121bpred2lev,hmmer,0.8692,125,359.52600092
dynamic2bpredras0bpredbtb5121bpred2lev,mcf,0.4836,125,646.195202647
dynamic2bpredras0bpredbtb5121bpred2lev,sjeng,0.4227,125,739.29500828
dynamic2bpredras0bpredbtb5121bpred2lev,milc,0.7781,125,401.619329135
dynamic2bpredras0bpredbtb5121bpred2lev,equake,0.3563,125,877.069884928
dynamic2bpredras0bpredbtb5121bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5121bpredbimod,hmmer,0.8763,125,356.613032067
dynamic2bpredras0bpredbtb5121bpredbimod,mcf,0.4837,125,646.061608435
dynamic2bpredras0bpredbtb5121bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb5121bpredbimod,milc,0.7788,125,401.258346174
dynamic2bpredras0bpredbtb5121bpredbimod,equake,0.3557,125,878.549339331
dynamic2bpredras0bpredbtb5121bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5121bpredcomb,hmmer,0.8794,125,355.355924494
dynamic2bpredras0bpredbtb5121bpredcomb,mcf,0.4880,125,640.368852459
dynamic2bpredras0bpredbtb5121bpredcomb,sjeng,0.4238,125,737.376120812
dynamic2bpredras0bpredbtb5121bpredcomb,milc,0.7798,125,400.743780457
dynamic2bpredras0bpredbtb5121bpredcomb,equake,0.3592,125,869.988864143
dynamic2bpredras0bpredbtb5122bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb5122bpred2lev,hmmer,0.8686,125,359.774349528
dynamic2bpredras0bpredbtb5122bpred2lev,mcf,0.4864,125,642.475328947
dynamic2bpredras0bpredbtb5122bpred2lev,sjeng,0.4226,125,739.469947941
dynamic2bpredras0bpredbtb5122bpred2lev,milc,0.7774,125,401.980962182
dynamic2bpredras0bpredbtb5122bpred2lev,equake,0.3621,125,863.021264844
dynamic2bpredras0bpredbtb5122bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5122bpredbimod,hmmer,0.8765,125,356.531660011
dynamic2bpredras0bpredbtb5122bpredbimod,mcf,0.4873,125,641.28873384
dynamic2bpredras0bpredbtb5122bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb5122bpredbimod,milc,0.7800,125,400.641025641
dynamic2bpredras0bpredbtb5122bpredbimod,equake,0.3622,125,862.782992822
dynamic2bpredras0bpredbtb5122bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5122bpredcomb,hmmer,0.8777,125,356.044206449
dynamic2bpredras0bpredbtb5122bpredcomb,mcf,0.4917,125,635.550132194
dynamic2bpredras0bpredbtb5122bpredcomb,sjeng,0.4239,125,737.202170323
dynamic2bpredras0bpredbtb5122bpredcomb,milc,0.7799,125,400.692396461
dynamic2bpredras0bpredbtb5122bpredcomb,equake,0.3652,125,855.69550931
dynamic2bpredras0bpredbtb5124bpred2lev,bzip2,0.3113,125,1003.85480244
dynamic2bpredras0bpredbtb5124bpred2lev,hmmer,0.8689,125,359.650132351
dynamic2bpredras0bpredbtb5124bpred2lev,mcf,0.4864,125,642.475328947
dynamic2bpredras0bpredbtb5124bpred2lev,sjeng,0.4226,125,739.469947941
dynamic2bpredras0bpredbtb5124bpred2lev,milc,0.7775,125,401.92926045
dynamic2bpredras0bpredbtb5124bpred2lev,equake,0.3628,125,861.356119074
dynamic2bpredras0bpredbtb5124bpredbimod,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5124bpredbimod,hmmer,0.8765,125,356.531660011
dynamic2bpredras0bpredbtb5124bpredbimod,mcf,0.4873,125,641.28873384
dynamic2bpredras0bpredbtb5124bpredbimod,sjeng,0.4118,125,758.863525983
dynamic2bpredras0bpredbtb5124bpredbimod,milc,0.7798,125,400.743780457
dynamic2bpredras0bpredbtb5124bpredbimod,equake,0.3629,125,861.1187655
dynamic2bpredras0bpredbtb5124bpredcomb,bzip2,0.3114,125,1003.53243417
dynamic2bpredras0bpredbtb5124bpredcomb,hmmer,0.8787,125,355.639012177
dynamic2bpredras0bpredbtb5124bpredcomb,mcf,0.4917,125,635.550132194
dynamic2bpredras0bpredbtb5124bpredcomb,sjeng,0.4239,125,737.202170323
dynamic2bpredras0bpredbtb5124bpredcomb,milc,0.7797,125,400.795177632
dynamic2bpredras0bpredbtb5124bpredcomb,equake,0.3660,125,853.825136612
