testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
hw4_2,bzip2,0.3283,115,875.723423698
hw4_2,hmmer,0.5443,115,528.201359544
hw4_2,mcf,0.3851,115,746.559335238
hw4_2,sjeng,0.4291,115,670.006991377
hw4_2,milc,0.4553,115,631.451790029
hw4_2,equake,0.3411,115,842.861330988
hw4_1,bzip2,0.2313,100,1080.84738435
hw4_1,hmmer,0.4151,100,602.264514575
hw4_1,mcf,0.3358,100,744.490768314
hw4_1,sjeng,0.3575,100,699.300699301
hw4_1,milc,0.3929,100,636.294222448
hw4_1,equake,0.2856,100,875.350140056
hw3_5,bzip2,0.5342,160,748.783227256
hw3_5,hmmer,1.3059,160,306.302167088
hw3_5,mcf,0.4062,160,984.736582964
hw3_5,sjeng,1.1171,160,358.070002686
hw3_5,milc,1.2094,160,330.742516951
hw3_5,equake,0.4049,160,987.898246481
hw2_3,bzip2,0.2157,100,1159.01715345
hw2_3,hmmer,0.4085,100,611.995104039
hw2_3,mcf,0.3318,100,753.465943339
hw2_3,sjeng,0.3408,100,733.568075117
hw2_3,milc,0.3904,100,640.368852459
hw2_3,equake,0.2882,100,867.453157529
hw5_5,bzip2,0.3981,160,1004.77267018
hw5_5,hmmer,0.8039,160,497.574325165
hw5_5,mcf,0.5713,160,700.157535445
hw5_5,sjeng,0.6638,160,602.59114191
hw5_5,milc,0.8248,160,484.966052376
hw5_5,equake,0.4764,160,839.630562552
hw4_4,bzip2,0.3981,160,1004.77267018
hw4_4,hmmer,0.8036,160,497.760079642
hw4_4,mcf,0.5713,160,700.157535445
hw4_4,sjeng,0.6638,160,602.59114191
hw4_4,milc,0.8248,160,484.966052376
hw4_4,equake,0.4764,160,839.630562552
hw5_7,bzip2,0.4160,160,961.538461538
hw5_7,hmmer,1.8555,160,215.575316626
hw5_7,mcf,0.8691,160,460.246231734
hw5_7,sjeng,1.0215,160,391.581008321
hw5_7,milc,1.3241,160,302.09198701
hw5_7,equake,0.6093,160,656.491055309
hw5_8,bzip2,0.4150,160,963.855421687
hw5_8,hmmer,1.8885,160,211.808313476
hw5_8,mcf,0.8004,160,499.750124938
hw5_8,sjeng,1.1390,160,351.185250219
hw5_8,milc,1.2809,160,312.280427824
hw5_8,equake,0.6118,160,653.808434129
hw5_3,bzip2,0.3421,115,840.397544578
hw5_3,hmmer,0.9455,115,304.071919619
hw5_3,mcf,0.4892,115,587.694194603
hw5_3,sjeng,0.5323,115,540.108961112
hw5_3,milc,0.5540,115,518.953068592
hw5_3,equake,0.4223,115,680.795642908
hw3_1,bzip2,0.3269,160,1223.61578464
hw3_1,hmmer,1.7954,160,222.791578478
hw3_1,mcf,0.8247,160,485.024857524
hw3_1,sjeng,0.8983,160,445.285539352
hw3_1,milc,1.2255,160,326.397388821
hw3_1,equake,0.5921,160,675.561560547
hw5_1,bzip2,0.3283,115,875.723423698
hw5_1,hmmer,0.5443,115,528.201359544
hw5_1,mcf,0.3851,115,746.559335238
hw5_1,sjeng,0.4291,115,670.006991377
hw5_1,milc,0.4553,115,631.451790029
hw5_1,equake,0.3411,115,842.861330988
hw3_2,bzip2,0.3108,160,1287.001287
hw3_2,hmmer,1.3263,160,301.590891955
hw3_2,mcf,0.3160,160,1265.82278481
hw3_2,sjeng,1.0825,160,369.515011547
hw3_2,milc,1.1811,160,338.667344001
hw3_2,equake,0.2016,160,1984.12698413
hw2_2,bzip2,0.2313,100,1080.84738435
hw2_2,hmmer,0.4153,100,601.974476282
hw2_2,mcf,0.3583,100,697.739324588
hw2_2,sjeng,0.3453,100,724.008108891
hw2_2,milc,0.3926,100,636.780438105
hw2_2,equake,0.3200,100,781.25
hw2_tmp,bzip2,0.2494,100,1002.40577386
hw2_tmp,hmmer,0.4223,100,591.996211224
hw2_tmp,mcf,0.3894,100,642.013353878
hw2_tmp,sjeng,0.3498,100,714.694110921
hw2_tmp,milc,0.3947,100,633.392449962
hw2_tmp,equake,0.3595,100,695.410292072
hw3_4,bzip2,0.6531,160,612.463634972
hw3_4,hmmer,1.3095,160,305.460099275
hw3_4,mcf,0.4063,160,984.494216096
hw3_4,sjeng,1.1216,160,356.633380884
hw3_4,milc,1.2103,160,330.496571098
hw3_4,equake,0.4051,160,987.410515922
hw5_6,bzip2,0.4160,160,961.538461538
hw5_6,hmmer,1.8557,160,215.552082772
hw5_6,mcf,0.8729,160,458.242639478
hw5_6,sjeng,1.0218,160,391.466040321
hw5_6,milc,1.3246,160,301.977955609
hw5_6,equake,0.6189,160,646.307965746
hw5_4,bzip2,0.3421,115,840.397544578
hw5_4,hmmer,0.8555,115,336.060783168
hw5_4,mcf,0.4807,115,598.086124402
hw5_4,sjeng,0.5522,115,520.644693951
hw5_4,milc,0.5545,115,518.485121731
hw5_4,equake,0.4184,115,687.141491396
hw3_3,bzip2,0.3904,160,1024.59016393
hw3_3,hmmer,1.4775,160,270.727580372
hw3_3,mcf,0.4097,160,976.324139614
hw3_3,sjeng,1.0983,160,364.199216972
hw3_3,milc,1.1707,160,341.67592039
hw3_3,equake,0.4104,160,974.658869396
hw5_2,bzip2,0.3422,115,840.151957919
hw5_2,hmmer,0.9458,115,303.975470501
hw5_2,mcf,0.4895,115,587.3340143
hw5_2,sjeng,0.5324,115,540.007513148
hw5_2,milc,0.5540,115,518.953068592
hw5_2,equake,0.4273,115,672.829393868
hw4_3,bzip2,0.3479,125,898.246622593
