testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,bzip2,0.5124,125,609.87509758
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,hmmer,0.9359,125,333.903194786
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,mcf,0.4157,125,751.744046187
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,sjeng,0.7926,125,394.272016149
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,milc,0.7434,125,420.365886468
dynamic2fetchspeed2bpredras8cachedl2ul216384641lbpredcomb,equake,0.2822,125,1107.37065911
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,bzip2,0.4670,125,669.164882227
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,hmmer,0.9405,125,332.270069112
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,mcf,0.5158,125,605.854982551
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,sjeng,0.6759,125,462.346500962
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,milc,0.7853,125,397.937094104
dynamic2fetchspeed2bpredras8cachedl2ul2512642lbpredcomb,equake,0.3675,125,850.340136054
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,bzip2,0.4760,125,656.512605042
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,hmmer,0.9190,125,340.043525571
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,mcf,0.4107,125,760.896031166
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,sjeng,0.7335,125,426.039536469
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,milc,0.7648,125,408.603556485
dynamic2fetchspeed2bpredras8cachedl2ul232768321lbpredcomb,equake,0.2830,125,1104.24028269
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,bzip2,0.4628,125,675.237683665
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,hmmer,0.9332,125,334.869267038
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,mcf,0.3905,125,800.256081946
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,sjeng,0.6904,125,452.636152955
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,milc,0.7787,125,401.309875433
dynamic2fetchspeed2bpredras8cachedl2ul2512648lbpredcomb,equake,0.2618,125,1193.65928189
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,bzip2,0.3113,125,1003.85480244
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,hmmer,0.8838,125,353.58678434
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,mcf,0.4080,125,765.931372549
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,sjeng,0.4361,125,716.578766338
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,milc,0.7792,125,401.052361396
dynamic2fetchspeed2bpredras8cachedl2ul21024168lbpredcomb,equake,0.2833,125,1103.07094952
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,bzip2,0.5097,125,613.105748479
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,hmmer,0.9331,125,334.90515486
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,mcf,0.3905,125,800.256081946
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,sjeng,0.9224,125,338.790112749
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,milc,0.7892,125,395.970603142
dynamic2fetchspeed2bpredras8cachedl2ul28192642lbpredcomb,equake,0.2618,125,1193.65928189
dynamic2fetchspeed2bpredras8cachedl2ul22048168lbpredcomb,bzip2,0.3113,125,1003.85480244
dynamic2fetchspeed2bpredras8cachedl2ul22048168lbpredcomb,hmmer,0.8813,125,354.589810507
