testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,bzip2,0.5899,125,529.750805221
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,hmmer,0.9627,125,324.607873689
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,mcf,0.7685,125,406.636304489
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,sjeng,0.8272,125,377.780464217
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,milc,0.7774,125,401.980962182
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,equake,0.7971,125,392.046167357
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,bzip2,0.4465,125,699.888017917
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,hmmer,0.9533,125,327.808664639
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,mcf,0.9010,125,346.836847947
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,sjeng,0.6646,125,470.207643695
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,milc,0.8078,125,386.853181481
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,equake,0.8593,125,363.668101943
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,bzip2,0.4120,125,758.495145631
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,hmmer,0.9482,125,329.571820291
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,mcf,0.7936,125,393.775201613
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,sjeng,0.6729,125,464.40778719
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,milc,0.8075,125,386.996904025
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024642lcacheil1il1256321lbpredcomb,equake,0.7252,125,430.915609487
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,bzip2,0.4105,125,761.266747868
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,hmmer,0.9563,125,326.780299069
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,mcf,0.7578,125,412.377936131
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,sjeng,0.8438,125,370.348423797
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,milc,0.7716,125,405.002592017
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul240961281lcacheil1il1256321lbpredcomb,equake,0.6710,125,465.722801788
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,bzip2,0.5877,125,531.733877829
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,hmmer,0.9020,125,346.45232816
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,mcf,0.8876,125,352.073005858
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,sjeng,0.6791,125,460.167869239
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,milc,0.8051,125,388.150540306
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul21024644lcacheil1il11024322lbpredcomb,equake,0.8690,125,359.608745685
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,bzip2,0.4120,125,758.495145631
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,hmmer,0.9471,125,329.954598247
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,mcf,0.7937,125,393.725589013
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,sjeng,0.6729,125,464.40778719
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,milc,0.8080,125,386.757425743
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul2256644lcacheil1il1256321lbpredcomb,equake,0.7308,125,427.613574165
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,bzip2,0.6676,125,468.094667466
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,hmmer,0.9650,125,323.834196891
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,mcf,0.9211,125,339.268266203
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,sjeng,0.8525,125,366.568914956
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,milc,0.7842,125,398.495281816
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,equake,0.8282,125,377.324317798
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul25121284lcacheil1il1512321lbpredcomb,bzip2,0.5461,125,572.239516572
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul25121284lcacheil1il1512321lbpredcomb,hmmer,0.9636,125,324.304690743
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul25121284lcacheil1il1512321lbpredcomb,mcf,0.7729,125,404.321386984
