testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,bzip2,0.4656,125,671.176975945
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,hmmer,0.9575,125,326.37075718
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,mcf,0.6306,125,495.559784332
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,sjeng,0.7775,125,401.92926045
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,milc,0.7772,125,402.084405558
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,equake,0.4767,125,655.548563038
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,bzip2,0.3430,125,911.078717201
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,hmmer,0.9428,125,331.459482393
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,mcf,0.8448,125,369.910037879
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,sjeng,0.5579,125,560.13622513
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,milc,0.8083,125,386.613880985
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048322lcacheil1il14096161lbpredcomb,equake,0.8759,125,356.775887658
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,bzip2,0.4485,125,696.767001115
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,hmmer,0.9613,125,325.080619994
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,mcf,0.6903,125,452.701723888
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,sjeng,0.8309,125,376.098206764
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,milc,0.7495,125,416.944629753
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,equake,0.5412,125,577.420546933
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,bzip2,0.4132,125,756.292352372
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,hmmer,0.9269,125,337.14532312
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,mcf,0.6001,125,520.746542243
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,sjeng,0.5667,125,551.438150697
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,milc,0.8122,125,384.757448904
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il1512161lbpredcomb,equake,0.4890,125,639.059304703
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,bzip2,0.4665,125,669.88210075
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,hmmer,0.9368,125,333.582408198
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,mcf,0.6629,125,471.413486197
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,sjeng,0.5594,125,558.634250983
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,milc,0.8066,125,387.428713117
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul21024324lcacheil1il11024161lbpredcomb,equake,0.6933,125,450.742824174
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,bzip2,0.5851,125,534.096735601
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,hmmer,0.9525,125,328.083989501
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,mcf,0.6900,125,452.898550725
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,sjeng,0.6957,125,449.187868334
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,milc,0.7992,125,391.016016016
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048642lcacheil1il11024161lbpredcomb,equake,0.6922,125,451.459115862
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,bzip2,0.5113,125,611.187169959
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,hmmer,0.9471,125,329.954598247
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,mcf,0.6015,125,519.534497091
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,sjeng,0.8954,125,349.006030824
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,milc,0.8126,125,384.568053163
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul24096644lcacheil1il1256162lbpredcomb,equake,0.4404,125,709.582198002
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,bzip2,0.4669,125,669.308203041
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,hmmer,0.9374,125,333.368892682
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,mcf,0.8440,125,370.260663507
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,sjeng,0.6000,125,520.833333333
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,milc,0.8144,125,383.718074656
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul22048324lcacheil1il1512162lbpredcomb,equake,0.7240,125,431.629834254
