testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,bzip2,0.4656,125,671.176975945
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,hmmer,0.9576,125,326.336675021
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,mcf,0.6306,125,495.559784332
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,sjeng,0.7775,125,401.92926045
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,milc,0.7772,125,402.084405558
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul210241284lcacheil1il1256162lbpredcomb,equake,0.4767,125,655.548563038
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,bzip2,0.4485,125,696.767001115
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,hmmer,0.9611,125,325.14826761
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,mcf,0.6903,125,452.701723888
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,sjeng,0.8309,125,376.098206764
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,milc,0.7495,125,416.944629753
dynamic2bpredras8fetchifqsize2fetchspeed2cachedl2ul240961281lcacheil1il1256162lbpredcomb,equake,0.5412,125,577.420546933
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,bzip2,0.5899,125,529.750805221
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,hmmer,0.9627,125,324.607873689
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,mcf,0.7685,125,406.636304489
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,sjeng,0.8272,125,377.780464217
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,milc,0.7774,125,401.980962182
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul281921281lcacheil1il1512321lbpredcomb,equake,0.7971,125,392.046167357
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,bzip2,0.4465,125,699.888017917
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,hmmer,0.9533,125,327.808664639
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,mcf,0.9010,125,346.836847947
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,sjeng,0.6646,125,470.207643695
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,milc,0.8078,125,386.853181481
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048641lcacheil1il1256322lbpredcomb,equake,0.8593,125,363.668101943
