testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,bzip2,0.5765,160,693.842150911
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,hmmer,0.9558,160,418.497593639
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,mcf,0.7502,160,533.191149027
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,sjeng,0.9274,160,431.313349148
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,milc,0.8306,160,481.579581026
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul24096644lcacheil1il1512321lbpredcomb,equake,0.7891,160,506.906602458
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,bzip2,0.6364,160,628.535512256
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,hmmer,0.9679,160,413.265833247
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,mcf,0.9523,160,420.035703035
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,sjeng,0.8795,160,454.803865833
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,milc,0.7955,160,502.828409805
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,equake,0.9757,160,409.962078508
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,bzip2,0.6088,160,657.03022339
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,hmmer,0.9613,160,416.103193592
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,mcf,0.9399,160,425.577189063
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,sjeng,0.7219,160,554.093364732
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,milc,0.8221,160,486.558812796
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1256322lbpredcomb,equake,0.9199,160,434.829872812
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,bzip2,0.7183,195,678.685785883
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,hmmer,0.9695,195,502.836513667
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,mcf,0.9559,195,509.990584789
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,sjeng,0.8786,195,554.860004553
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,milc,0.8305,195,586.995785671
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1512322lbpredcomb,equake,1.0083,195,483.487057423
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,bzip2,0.7139,195,682.868749125
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,hmmer,0.9730,195,501.027749229
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,mcf,0.9592,195,508.236030025
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,sjeng,0.9382,195,519.612023023
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,milc,0.8368,195,582.576481836
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il1256322lbpredcomb,equake,0.9251,195,526.970057291
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,bzip2,0.6953,195,701.136200201
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,hmmer,0.9714,195,501.852995676
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,mcf,0.9260,195,526.457883369
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,sjeng,0.9381,195,519.667412856
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,milc,0.8343,195,584.322186264
dynamic8bpredras8fetchifqsize4fetchspeed2cachedl2ul240961282lcacheil1il11024321lbpredcomb,equake,0.9957,195,489.605302802
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,bzip2,0.6588,160,607.164541591
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,hmmer,0.9658,160,414.164423276
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,mcf,0.9445,160,423.504499735
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,sjeng,0.9270,160,431.499460626
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,milc,0.8032,160,498.007968127
dynamic4bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il12048321lbpredcomb,equake,0.9640,160,414.937759336
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,bzip2,0.6676,125,468.094667466
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,hmmer,0.9648,125,323.9013267
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,mcf,0.9211,125,339.268266203
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,sjeng,0.8525,125,366.568914956
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,milc,0.7842,125,398.495281816
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul220481282lcacheil1il1256322lbpredcomb,equake,0.8282,125,377.324317798
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,bzip2,0.6009,160,665.66816442
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,hmmer,0.9665,160,413.86445939
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,mcf,0.9072,160,440.917107584
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,sjeng,0.8796,160,454.752160073
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,milc,0.7973,160,501.693214599
dynamic4bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,equake,0.9467,160,422.520333791
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,bzip2,0.5326,125,586.744273376
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,hmmer,0.9531,125,327.877452523
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,mcf,0.7386,125,423.097752505
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,sjeng,0.7246,125,431.272426166
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,milc,0.8071,125,387.188700285
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048644lcacheil1il1512321lbpredcomb,equake,0.7578,125,412.377936131
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,bzip2,0.4988,125,626.503608661
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,hmmer,0.9547,125,327.327956426
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,mcf,0.7919,125,394.620532896
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,sjeng,0.6961,125,448.929751472
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,milc,0.8049,125,388.246987203
dynamic2bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512321lbpredcomb,equake,0.8123,125,384.710082482
dynamic8bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il11024641lbpredcomb,bzip2,0.6804,195,716.490299824
