testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,bzip2,0.3986,145,909.433015554
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,hmmer,0.5964,145,607.813547954
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,mcf,0.5551,145,653.035489101
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,sjeng,0.4304,145,842.239776952
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,milc,0.5147,145,704.293763357
static4bpredras8fetchifqsize4fetchspeed2cachedl2ul22048642lcacheil1il1512322lbpredcomb,equake,0.5037,145,719.674409371
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,bzip2,0.3734,115,769.951794322
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,hmmer,0.6540,115,439.602446483
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,mcf,0.5806,115,495.177402687
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,sjeng,0.5506,115,522.157646204
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,milc,0.5146,115,558.686358337
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481284lcacheil1il1512641lbpredcomb,equake,0.5550,115,518.018018018
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,bzip2,0.4064,100,615.157480315
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,hmmer,0.5477,100,456.454263283
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,mcf,0.5265,100,474.833808167
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,sjeng,0.4646,100,538.09728799
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,milc,0.5118,100,488.472059398
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul28192642lcacheil1il11024322lbpredcomb,equake,0.4550,100,549.450549451
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,bzip2,0.3769,100,663.305916689
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,hmmer,0.6557,100,381.271923136
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,mcf,0.5640,100,443.262411348
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,sjeng,0.5424,100,460.914454277
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,milc,0.5117,100,488.567520031
static1bpredras8fetchifqsize4fetchspeed2cachedl2ul220481284lcacheil1il11024321lbpredcomb,equake,0.5286,100,472.947408248
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,bzip2,0.4084,115,703.966699314
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,hmmer,0.7227,115,397.813753978
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,mcf,0.5931,115,484.741190356
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,sjeng,0.5686,115,505.627857897
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,milc,0.5169,115,556.200425614
static2bpredras8fetchifqsize8fetchspeed2cachedl2ul220481282lcacheil1il1256641lbpredcomb,equake,0.6067,115,473.87506181
