testcases,benchmarks,sim_IPC,clock cycle (ps),execution time (us)
dynamic2ruusize16lsqsize2,bzip2,0.2079,125,1503.12650313
dynamic2ruusize16lsqsize2,hmmer,0.5241,125,596.260255676
dynamic2ruusize16lsqsize2,mcf,0.3395,125,920.471281296
dynamic2ruusize16lsqsize2,sjeng,0.2764,125,1130.60781476
dynamic2ruusize16lsqsize2,milc,0.4960,125,630.040322581
dynamic2ruusize16lsqsize2,equake,0.2750,125,1136.36363636
dynamic2ruusize16lsqsize4,bzip2,0.2180,125,1433.48623853
dynamic2ruusize16lsqsize4,hmmer,0.5422,125,576.355588344
dynamic2ruusize16lsqsize4,mcf,0.3660,125,853.825136612
dynamic2ruusize16lsqsize4,sjeng,0.3083,125,1013.62309439
dynamic2ruusize16lsqsize4,milc,0.5810,125,537.865748709
dynamic2ruusize16lsqsize4,equake,0.2884,125,1083.56449376
dynamic2ruusize16lsqsize8,bzip2,0.2695,125,1159.55473098
dynamic2ruusize16lsqsize8,hmmer,0.5441,125,574.342951663
dynamic2ruusize16lsqsize8,mcf,0.3699,125,844.822925115
dynamic2ruusize16lsqsize8,sjeng,0.3316,125,942.400482509
dynamic2ruusize16lsqsize8,milc,0.5874,125,532.005447736
dynamic2ruusize16lsqsize8,equake,0.2944,125,1061.48097826
dynamic2ruusize4lsqsize2,bzip2,0.2051,125,1523.64700146
dynamic2ruusize4lsqsize2,hmmer,0.5240,125,596.374045802
dynamic2ruusize4lsqsize2,mcf,0.3390,125,921.828908555
dynamic2ruusize4lsqsize2,sjeng,0.2763,125,1131.0170105
dynamic2ruusize4lsqsize2,milc,0.4824,125,647.8026534
dynamic2ruusize4lsqsize2,equake,0.2741,125,1140.09485589
dynamic2ruusize4lsqsize4,bzip2,0.2099,125,1488.80419247
dynamic2ruusize4lsqsize4,hmmer,0.5321,125,587.295621124
dynamic2ruusize4lsqsize4,mcf,0.3647,125,856.868659172
dynamic2ruusize4lsqsize4,sjeng,0.3066,125,1019.24331376
dynamic2ruusize4lsqsize4,milc,0.5579,125,560.13622513
dynamic2ruusize4lsqsize4,equake,0.2831,125,1103.8502296
dynamic2ruusize4lsqsize8,bzip2,0.2099,125,1488.80419247
dynamic2ruusize4lsqsize8,hmmer,0.5320,125,587.406015038
dynamic2ruusize4lsqsize8,mcf,0.3647,125,856.868659172
dynamic2ruusize4lsqsize8,sjeng,0.3066,125,1019.24331376
dynamic2ruusize4lsqsize8,milc,0.5579,125,560.13622513
dynamic2ruusize4lsqsize8,equake,0.2831,125,1103.8502296
dynamic2ruusize8lsqsize2,bzip2,0.2079,125,1503.12650313
dynamic2ruusize8lsqsize2,hmmer,0.5240,125,596.374045802
dynamic2ruusize8lsqsize2,mcf,0.3395,125,920.471281296
dynamic2ruusize8lsqsize2,sjeng,0.2764,125,1130.60781476
dynamic2ruusize8lsqsize2,milc,0.4933,125,633.48874924
dynamic2ruusize8lsqsize2,equake,0.2751,125,1135.95056343
dynamic2ruusize8lsqsize4,bzip2,0.2156,125,1449.44341373
dynamic2ruusize8lsqsize4,hmmer,0.5418,125,576.781100037
dynamic2ruusize8lsqsize4,mcf,0.3650,125,856.164383562
dynamic2ruusize8lsqsize4,sjeng,0.3082,125,1013.95197923
dynamic2ruusize8lsqsize4,milc,0.5750,125,543.47826087
dynamic2ruusize8lsqsize4,equake,0.2877,125,1086.20090372
dynamic2ruusize8lsqsize8,bzip2,0.2591,125,1206.09803165
dynamic2ruusize8lsqsize8,hmmer,0.5432,125,575.29455081
dynamic2ruusize8lsqsize8,mcf,0.3690,125,846.883468835
dynamic2ruusize8lsqsize8,sjeng,0.3240,125,964.50617284
dynamic2ruusize8lsqsize8,milc,0.5780,125,540.657439446
dynamic2ruusize8lsqsize8,equake,0.2881,125,1084.69281499
dynamic4ruusize16lsqsize16,bzip2,0.3112,160,1285.3470437
dynamic4ruusize16lsqsize16,hmmer,0.5452,160,733.675715334
dynamic4ruusize16lsqsize16,mcf,0.3715,160,1076.71601615
dynamic4ruusize16lsqsize16,sjeng,0.4261,160,938.746773058
dynamic4ruusize16lsqsize16,milc,0.5942,160,673.174015483
dynamic4ruusize16lsqsize16,equake,0.2946,160,1357.77325187
dynamic4ruusize16lsqsize2,bzip2,0.2079,160,1924.001924
dynamic4ruusize16lsqsize2,hmmer,0.5237,160,763.79606645
dynamic4ruusize16lsqsize2,mcf,0.3395,160,1178.20324006
dynamic4ruusize16lsqsize2,sjeng,0.2764,160,1447.17800289
dynamic4ruusize16lsqsize2,milc,0.4960,160,806.451612903
dynamic4ruusize16lsqsize2,equake,0.2750,160,1454.54545455
dynamic4ruusize16lsqsize4,bzip2,0.2180,160,1834.86238532
dynamic4ruusize16lsqsize4,hmmer,0.5424,160,737.463126844
dynamic4ruusize16lsqsize4,mcf,0.3662,160,1092.29929001
dynamic4ruusize16lsqsize4,sjeng,0.3083,160,1297.43756082
dynamic4ruusize16lsqsize4,milc,0.5810,160,688.468158348
dynamic4ruusize16lsqsize4,equake,0.2884,160,1386.96255201
dynamic4ruusize16lsqsize8,bzip2,0.2696,160,1483.67952522
dynamic4ruusize16lsqsize8,hmmer,0.5445,160,734.618916437
dynamic4ruusize16lsqsize8,mcf,0.3699,160,1081.37334415
dynamic4ruusize16lsqsize8,sjeng,0.3317,160,1205.90895387
dynamic4ruusize16lsqsize8,milc,0.5874,160,680.966973102
dynamic4ruusize16lsqsize8,equake,0.2945,160,1358.23429542
dynamic4ruusize32lsqsize16,bzip2,0.4003,160,999.250562078
dynamic4ruusize32lsqsize16,hmmer,0.5465,160,731.930466606
dynamic4ruusize32lsqsize16,mcf,0.3816,160,1048.21802935
dynamic4ruusize32lsqsize16,sjeng,0.4377,160,913.867946082
dynamic4ruusize32lsqsize16,milc,0.6011,160,665.446681085
dynamic4ruusize32lsqsize16,equake,0.2983,160,1340.9319477
dynamic4ruusize32lsqsize2,bzip2,0.2079,160,1924.001924
dynamic4ruusize32lsqsize2,hmmer,0.5243,160,762.921991226
dynamic4ruusize32lsqsize2,mcf,0.3395,160,1178.20324006
dynamic4ruusize32lsqsize2,sjeng,0.2764,160,1447.17800289
dynamic4ruusize32lsqsize2,milc,0.4964,160,805.801772764
dynamic4ruusize32lsqsize2,equake,0.2751,160,1454.01672119
dynamic4ruusize32lsqsize4,bzip2,0.2180,160,1834.86238532
dynamic4ruusize32lsqsize4,hmmer,0.5419,160,738.143568924
dynamic4ruusize32lsqsize4,mcf,0.3663,160,1092.001092
dynamic4ruusize32lsqsize4,sjeng,0.3077,160,1299.96750081
dynamic4ruusize32lsqsize4,milc,0.5821,160,687.16715341
dynamic4ruusize32lsqsize4,equake,0.2884,160,1386.96255201
dynamic4ruusize32lsqsize8,bzip2,0.2760,160,1449.27536232
dynamic4ruusize32lsqsize8,hmmer,0.5448,160,734.214390602
dynamic4ruusize32lsqsize8,mcf,0.3712,160,1077.5862069
dynamic4ruusize32lsqsize8,sjeng,0.3318,160,1205.54550934
dynamic4ruusize32lsqsize8,milc,0.5885,160,679.694137638
dynamic4ruusize32lsqsize8,equake,0.2951,160,1355.47272111
dynamic4ruusize4lsqsize16,bzip2,0.2099,160,1905.66936636
dynamic4ruusize4lsqsize16,hmmer,0.5324,160,751.314800902
dynamic4ruusize4lsqsize16,mcf,0.3647,160,1096.79188374
dynamic4ruusize4lsqsize16,sjeng,0.3066,160,1304.63144162
dynamic4ruusize4lsqsize16,milc,0.5579,160,716.974368166
dynamic4ruusize4lsqsize16,equake,0.2832,160,1412.42937853
dynamic4ruusize4lsqsize2,bzip2,0.2051,160,1950.26816187
dynamic4ruusize4lsqsize2,hmmer,0.5236,160,763.941940413
dynamic4ruusize4lsqsize2,mcf,0.3390,160,1179.94100295
dynamic4ruusize4lsqsize2,sjeng,0.2763,160,1447.70177343
dynamic4ruusize4lsqsize2,milc,0.4824,160,829.187396352
dynamic4ruusize4lsqsize2,equake,0.2741,160,1459.32141554
dynamic4ruusize4lsqsize4,bzip2,0.2099,160,1905.66936636
dynamic4ruusize4lsqsize4,hmmer,0.5326,160,751.032669921
dynamic4ruusize4lsqsize4,mcf,0.3647,160,1096.79188374
dynamic4ruusize4lsqsize4,sjeng,0.3066,160,1304.63144162
dynamic4ruusize4lsqsize4,milc,0.5579,160,716.974368166
dynamic4ruusize4lsqsize4,equake,0.2832,160,1412.42937853
dynamic4ruusize4lsqsize8,bzip2,0.2099,160,1905.66936636
dynamic4ruusize4lsqsize8,hmmer,0.5324,160,751.314800902
dynamic4ruusize4lsqsize8,mcf,0.3647,160,1096.79188374
dynamic4ruusize4lsqsize8,sjeng,0.3066,160,1304.63144162
dynamic4ruusize4lsqsize8,milc,0.5579,160,716.974368166
